const,country,rated,awards,is_adult
tt0045141,Italy,,,
tt0045170,Italy,,,
tt0045174,United States,Approved,,
tt0045175,United States,Approved,,
tt0045183,"Italy, France",Approved,,
tt0045195,Italy,,,
tt0045201,United Kingdom,Approved,1 win,
tt0045207,Italy,,,
tt0045219,United States,Approved,,
tt0045220,United States,Approved,,
tt0045224,Italy,,,
tt0045241,"France, Italy, Spain",,,
tt0045247,Italy,,,
tt0045248,Italy,,,
tt0045254,Italy,,,
tt0045255,Italy,,,
tt0045275,France,,,
tt0045288,Italy,,,
tt0045294,"Italy, France",Approved,1 nomination,
tt0045296,"United States, Mexico",Approved,Won 1 Oscar. 3 wins & 9 nominations total,
tt0045298,Italy,,,
tt0045299,Italy,,,
tt0045300,United States,Passed,,
tt0045311,"Italy, France",Approved,,
tt0045316,United States,Approved,,
tt0045358,Italy,,,
tt0045483,Italy,Approved,,
tt0045494,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0045499,Italy,,,
tt0045500,Italy,,,
tt0045501,"Italy, France",,,
tt0045509,Italy,,,
tt0045513,United Kingdom,,,
tt0045518,United States,Approved,,
tt0045527,"Spain, France",,1 nomination,
tt0045536,Italy,,,
tt0045539,United States,Approved,,
tt0045573,United States,Approved,,
tt0045574,United States,Approved,,
tt0045587,Italy,,,
tt0045590,Italy,,,
tt0045593,"Mexico, Spain",,2 nominations,
tt0045595,Brazil,Approved,2 wins & 1 nomination total,
tt0045596,Italy,,,
tt0045602,Italy,Approved,,
tt0045613,Italy,,,
tt0045614,Italy,,1 nomination,
tt0045615,Italy,,,
tt0045616,United States,Approved,,
tt0045637,United States,Approved,,
tt0045642,Italy,,,
tt0045653,United States,Approved,,
tt0045654,United Kingdom,Approved,Nominated for 6 BAFTA 1 win & 7 nominations total,
tt0045679,United States,Approved,Nominated for 1 Oscar. 1 win & 1 nomination total,
tt0045684,United States,Approved,,
tt0045685,Italy,,,
tt0045689,Italy,,,
tt0045692,Italy,,,
tt0045693,India,,4 wins & 1 nomination,
tt0045695,Italy,,,
tt0045705,"United Kingdom, Italy, United States",Approved,,
tt0045715,Italy,,,
tt0045732,"France, Italy",,,
tt0045734,Italy,,,
tt0045737,United States,Approved,,
tt0045739,"Italy, France",,,
tt0045767,Italy,,,
tt0045798,"France, Italy",K-16,,
tt0045804,West Germany,,,
tt0045821,Italy,G,,
tt0045825,United States,Approved,,
tt0045876,United States,Approved,,
tt0045888,United States,PG,1 win & 3 nominations total,
tt0045908,Italy,,,
tt0045909,"Italy, France",,,
tt0045914,France,,,
tt0045923,Italy,12,,
tt0045925,United States,Approved,,
tt0045927,United States,Approved,,
tt0045943,United States,Approved,Won 1 Oscar. 7 wins & 7 nominations total,
tt0045966,United Kingdom,Approved,Nominated for 2 Oscars. 3 nominations total,
tt0045981,"France, Italy",,,
tt0045992,United States,Approved,,
tt0046006,United Kingdom,Approved,Nominated for 3 BAFTA 3 wins & 4 nominations total,
tt0046022,"France, Italy",,Nominated for 1 Oscar. 1 nomination total,
tt0046023,"Italy, France",,2 nominations,
tt0046024,"Italy, United States",Approved,,
tt0046026,United States,Approved,,
tt0046046,Italy,Approved,,
tt0046063,"Italy, France",,,
tt0046085,United States,Approved,Nominated for 2 Oscars. 3 wins & 4 nominations total,
tt0046091,Mexico,TV-14,,
tt0046097,Italy,Approved,,
tt0046115,France,,,
tt0046120,Italy,,1 nomination,
tt0046124,"United Kingdom, United States",Approved,,
tt0046126,United States,Approved,,
tt0046153,United States,,,
tt0046159,Italy,,Nominated for 1 Oscar. 4 wins & 4 nominations total,
tt0046160,Italy,Approved,,
tt0046169,Italy,Approved,,
tt0046177,Italy,,,
tt0046188,Italy,,,
tt0046189,Italy,,,
tt0046191,Italy,,,
tt0046198,United States,Approved,,
tt0046206,Italy,,,
tt0046223,United States,Approved,,
tt0046231,United Kingdom,,,
tt0046244,Italy,,,
tt0046247,United States,Approved,Won 2 Oscars. 6 wins & 5 nominations total,
tt0046250,United States,Approved,Won 3 Oscars. 11 wins & 20 nominations total,
tt0046263,Italy,,,
tt0046268,"France, Italy",,Won 1 BAFTA Award6 wins & 1 nomination total,
tt0046269,United States,Approved,,
tt0046281,"France, Italy",,,
tt0046286,United Kingdom,Approved,,
tt0046303,United States,Approved,Won 1 Oscar. 8 wins & 13 nominations total,
tt0046309,Italy,,,
tt0046310,Italy,,,
tt0046317,United States,Approved,,
tt0046328,United States,Approved,,
tt0046344,United States,Approved,,
tt0046349,United Kingdom,Approved,,
tt0046352,"Italy, France",,,
tt0046362,"United Kingdom, Italy",Approved,,
tt0046403,Italy,Approved,,
tt0046410,Italy,,,
tt0046413,"France, Italy",,,
tt0046421,United Kingdom,,,
tt0046427,United States,Approved,,
tt0046429,"France, Italy",,2 wins & 2 nominations,
tt0046430,"France, Italy",,,
tt0046435,United States,Approved,Won 1 Oscar. 1 win & 3 nominations total,
tt0046447,Italy,,,
tt0046449,Italy,,,
tt0046461,"France, Italy",,,
tt0046462,United States,Approved,,
tt0046492,United States,Approved,,
tt0046505,Italy,,,
tt0046513,Italy,,,
tt0046518,"Italy, France",,,
tt0046521,"Italy, France",,Nominated for 1 Oscar. 4 wins & 3 nominations total,
tt0046525,Italy,,,
tt0046532,United States,Approved,,
tt0046534,United States,G,Won 1 Oscar. 5 wins & 2 nominations total,
tt0046681,Italy,,,
tt0046700,Italy,,,
tt0046720,Italy,,,
tt0046731,"Italy, France",TV-14,,
tt0046735,"Italy, France",Approved,,
tt0046737,"Italy, France",,,
tt0046744,Italy,,,
tt0046767,United States,Approved,,
tt0046769,Spain,,1 nomination,
tt0046789,United States,Approved,1 nomination,
tt0046800,United States,Approved,,
tt0046808,United States,Approved,Won 1 Oscar. 2 wins & 1 nomination total,
tt0046818,Italy,,,
tt0046819,West Germany,,5 wins & 2 nominations,
tt0046823,Italy,,,
tt0046824,Italy,,,
tt0046832,Italy,,,
tt0046833,"Italy, France",,,
tt0046837,"Italy, France",,,
tt0046856,Italy,,,
tt0046868,"France, Italy",,,
tt0046877,United Kingdom,Approved,,
tt0046880,Italy,,,
tt0046889,United Kingdom,Approved,Nominated for 1 Oscar. 4 nominations total,
tt0046899,United States,Approved,,
tt0046905,United States,Approved,,
tt0046911,France,,5 wins total,
tt0046915,United Kingdom,Approved,Won 3 BAFTA 4 wins & 3 nominations total,
tt0046939,Italy,,,
tt0046941,Italy,,,
tt0046951,United States,Approved,,
tt0046976,Italy,,,
tt0046990,Italy,,,
tt0047013,United States,Approved,,
tt0047033,United States,Approved,1 nomination total,
tt0047034,Japan,,4 wins & 2 nominations total,
tt0047073,United States,Approved,Nominated for 1 Oscar. 1 win & 2 nominations total,
tt0047136,United States,Approved,1 win & 1 nomination,
tt0047150,United States,Approved,,
tt0047162,United States,Approved,1 win total,
tt0047163,United States,Approved,,
tt0047188,United States,Approved,,
tt0047192,United States,Approved,,
tt0047202,Italy,,,
tt0047207,"Italy, United States",,,
tt0047208,Italy,,,
tt0047209,United States,Approved,,
tt0047224,Italy,,,
tt0047229,United Kingdom,,,
tt0047238,Italy,,,
tt0047263,United States,Approved,,
tt0047264,United States,Approved,,
tt0047274,"Italy, West Germany",,,
tt0047313,Italy,Approved,3 wins & 2 nominations,
tt0047325,"United Kingdom, United States",Approved,,
tt0047327,Italy,,1 win,
tt0047329,Italy,,,
tt0047334,United States,Approved,,
tt0047352,Italy,,,
tt0047364,Italy,,,
tt0047365,United States,Approved,,
tt0047366,United States,Approved,,
tt0047367,"Italy, Spain",,1 nomination,
tt0047383,Italy,,,
tt0047393,"France, Italy",Approved,,
tt0047401,"France, Italy",,,
tt0047408,United States,Approved,,
tt0047411,United States,Approved,,
tt0047418,Italy,,,
tt0047419,Italy,,,
tt0047424,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0047464,United States,Approved,1 nomination,
tt0047467,"United Kingdom, New Zealand",,,
tt0047469,Italy,,3 wins & 2 nominations total,
tt0047472,United States,Approved,Won 1 Oscar. 8 wins & 8 nominations total,
tt0047484,"France, Italy",,1 win,
tt0047488,United States,Approved,,
tt0047490,United States,Approved,,
tt0047498,"France, Italy",,,
tt0047501,"Mexico, United States",Approved,,
tt0047517,United States,Approved,,
tt0047562,United States,Approved,,
tt0047567,"Italy, France",Approved,,
tt0047572,West Germany,,2 wins & 3 nominations,
tt0047582,United States,Approved,,
tt0047607,"Italy, France",,,
tt0047621,"Italy, France",,,
tt0047630,"Italy, France, United States",,,
tt0047631,Italy,,,
tt0047647,United States,Approved,,
tt0047801,Italy,,,
tt0047807,Italy,,,
tt0047818,France,,,
tt0047829,"Italy, France",,,
tt0047832,Italy,,,
tt0047861,United States,,,
tt0047870,"Italy, France",,,
tt0047871,Italy,,,
tt0047876,"Italy, France",,2 nominations total,
tt0047905,Italy,,,
tt0047911,"Spain, West Germany",,,
tt0047912,Italy,,,
tt0047924,United Kingdom,Approved,,
tt0047947,United States,Approved,,
tt0047949,Italy,,,
tt0047952,West Germany,,,
tt0047968,Italy,,,
tt0047977,United States,Approved,,
tt0047982,France,,,
tt0047985,United States,Approved,2 wins & 1 nomination total,
tt0047986,Italy,,,
tt0047995,Italy,,,
tt0047999,"Italy, France",,,
tt0048006,"Italy, France",TV-PG,2 wins,
tt0048008,"France, Italy",,,
tt0048037,Mexico,,1 win & 8 nominations,
tt0048047,United States,Approved,,
tt0048056,United States,,,
tt0048064,United States,Approved,,
tt0048077,United States,Approved,1 nomination,
tt0048090,United States,Approved,,
tt0048100,"France, Italy",,1 win,
tt0048120,Italy,,,
tt0048187,"France, West Germany",,1 win & 1 nomination,
tt0048203,Italy,,,
tt0048204,United States,Approved,,
tt0048207,"Italy, France",,1 win & 1 nomination,
tt0048210,United States,Approved,Won 1 Oscar. 1 win & 3 nominations total,
tt0048248,United States,Approved,2 nominations,
tt0048259,United States,Approved,,
tt0048283,United States,Approved,,
tt0048313,United States,Approved,,
tt0048316,United States,Approved,Won 3 Oscars. 5 wins & 6 nominations total,
tt0048330,"Italy, Japan",,,
tt0048336,United States,Approved,,
tt0048349,"Italy, France",,,
tt0048351,United States,Approved,,
tt0048355,"France, Italy",,1 nomination,
tt0048385,"Spain, Italy",,,
tt0048387,United States,Approved,1 nomination total,
tt0048409,"France, Italy",,,
tt0048464,Italy,,1 win & 1 nomination,
tt0048491,United States,PG,Won 2 Oscars. 5 wins & 12 nominations total,
tt0048517,United States,Approved,,
tt0048524,Italy,,,
tt0048528,"United Kingdom, United States",Approved,,
tt0048534,Italy,,,
tt0048538,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0048556,"France, Italy",,,
tt0048566,Italy,,,
tt0048570,United States,Approved,,
tt0048588,United States,Approved,,
tt0048597,"France, Italy",,,
tt0048605,United States,Approved,Nominated for 1 BAFTA Award2 wins & 3 nominations total,
tt0048614,United States,Approved,,
tt0048617,Italy,,,
tt0048620,United Kingdom,Approved,Nominated for 4 BAFTA 4 nominations total,
tt0048624,Austria,,1 nomination total,
tt0048628,United States,Approved,,
tt0048636,Spain,,,
tt0048658,"Italy, West Germany",,,
tt0048662,United Kingdom,Approved,,
tt0048675,Italy,,,
tt0048676,Italy,,,
tt0048691,United States,Approved,,
tt0048709,"Italy, United States",,,
tt0048711,United States,Approved,,
tt0048728,United States,PG,Won 1 Oscar. 1 win & 5 nominations total,
tt0048738,Italy,,,
tt0048748,United States,Approved,Nominated for 1 Oscar. 1 win & 1 nomination total,
tt0048754,United States,Approved,,
tt0048773,United States,Approved,,
tt0048779,Italy,,,
tt0048780,Italy,,,
tt0048805,United States,Approved,,
tt0048947,United States,Approved,Won 1 Oscar. 7 wins & 6 nominations total,
tt0048973,United States,R,Nominated for 4 Oscars. 3 wins & 13 nominations total,
tt0048981,Italy,,,
tt0049014,United Kingdom,,,
tt0049052,Italy,,,
tt0049062,Italy,,,
tt0049075,Italy,,,
tt0049085,"Italy, France",,,
tt0049094,"Italy, France",Approved,,
tt0049096,United States,Approved,1 win & 1 nomination total,
tt0049109,United States,Approved,,
tt0049117,United States,Approved,,
tt0049140,United States,Approved,,
tt0049141,"Italy, France",,,
tt0049145,"Italy, Spain",,,
tt0049196,United Kingdom,,,
tt0049201,United States,Approved,,
tt0049224,United States,Approved,,
tt0049261,United States,G,Won 1 Oscar. 8 wins & 17 nominations total,
tt0049278,United States,Approved,,
tt0049285,United States,Approved,,
tt0049286,United States,Approved,,
tt0049287,United States,Approved,,
tt0049288,West Germany,,1 win & 2 nominations,
tt0049301,United States,Approved,,
tt0049311,United States,Approved,,
tt0049366,United States,Approved,3 wins total,
tt0049369,United Kingdom,Approved,,
tt0049388,United States,Approved,Nominated for 2 Oscars. 2 nominations total,
tt0049408,United States,G,Won 5 Oscars. 11 wins & 13 nominations total,
tt0049429,Italy,,,
tt0049432,United States,Approved,,
tt0049434,United States,Approved,,
tt0049448,France,,,
tt0049471,"United Kingdom, United States",Approved,Won 1 BAFTA Award2 wins & 4 nominations total,
tt0049484,"Italy, France",Approved,,
tt0049501,"France, West Germany, Italy, Yugoslavia",,,
tt0049508,"Italy, France",,,
tt0049514,Italy,,,
tt0049584,Italy,,,
tt0049593,United States,Approved,,
tt0049619,United States,Approved,,
tt0049628,Italy,,,
tt0049634,"Italy, France",,,
tt0049640,United States,Approved,Nominated for 2 Oscars. 2 nominations total,
tt0049652,United States,Approved,,
tt0049656,United States,Approved,,
tt0049678,Italy,,,
tt0049718,United States,Approved,,
tt0049723,"Italy, Mexico, Spain",,,
tt0049728,United States,Approved,,
tt0049739,Italy,,,
tt0049741,"Italy, Mexico, Spain",,,
tt0049751,United States,Approved,,
tt0049762,Austria,,3 nominations total,
tt0049778,United States,Approved,Won 2 Oscars. 4 wins & 5 nominations total,
tt0049791,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0049799,Italy,,,
tt0049811,"Italy, West Germany",,,
tt0049833,United States,G,Won 1 Oscar. 13 wins & 12 nominations total,
tt0049845,United Kingdom,,Nominated for 1 BAFTA Award1 win & 1 nomination total,
tt0049849,United States,Approved,,
tt0049864,Italy,,,
tt0049866,Italy,,,
tt0049867,Italy,,,
tt0049880,Mexico,,1 nomination,
tt0049905,"Italy, France",,1 nomination,
tt0049909,United States,Approved,,
tt0049910,Italy,,,
tt0049966,United States,Approved,Won 1 Oscar. 3 wins & 3 nominations total,
tt0049989,Mexico,,,
tt0050081,Spain,,5 wins,
tt0050108,"France, Italy, Yugoslavia",,,
tt0050113,West Germany,,,
tt0050130,Italy,,,
tt0050140,"Italy, United States",,1 nomination,
tt0050171,United States,Approved,2 wins total,
tt0050199,West Germany,,,
tt0050227,Italy,,,
tt0050246,United Kingdom,Approved,,
tt0050248,Italy,,,
tt0050252,United States,Approved,,
tt0050254,"Italy, Spain",,,
tt0050257,"France, Italy",,,
tt0050266,Italy,,,
tt0050280,United Kingdom,Approved,1 win & 1 nomination,
tt0050299,United States,Approved,,
tt0050306,United States,Approved,Won 1 Oscar. 1 win & 3 nominations total,
tt0050313,Italy,,,
tt0050316,United States,Approved,,
tt0050326,Soviet Union,PG,1 win & 1 nomination,
tt0050356,United States,Approved,Won 1 Oscar. 3 wins & 3 nominations total,
tt0050379,United States,Approved,Nominated for 1 Oscar. 1 win & 2 nominations total,
tt0050381,"Italy, Spain",G,,
tt0050383,United States,Approved,1 nomination,
tt0050441,"Italy, Spain",Approved,,
tt0050462,Italy,,,
tt0050468,United States,Approved,Nominated for 2 Oscars. 3 wins & 4 nominations total,
tt0050496,United States,Approved,,
tt0050497,United States,Approved,,
tt0050507,United Kingdom,,1 nomination,
tt0050526,United States,Approved,,
tt0050625,United States,,,
tt0050626,"France, Spain",,,
tt0050628,"Italy, France",,,
tt0050634,Soviet Union,,Nominated for 2 BAFTA 4 wins & 3 nominations total,
tt0050669,"France, Italy",,Nominated for 3 BAFTA 1 win & 3 nominations total,
tt0050690,Italy,,,
tt0050705,"Italy, Spain",,,
tt0050717,Mexico,Approved,,
tt0050721,West Germany,,,
tt0050722,United States,Approved,1 nomination total,
tt0050772,United Kingdom,Approved,,
tt0050774,United States,Approved,,
tt0050777,"Italy, France",,1 win,
tt0050781,"France, Italy",PG,1 win,
tt0050783,"Italy, France",,Won 1 Oscar. 17 wins & 7 nominations total,
tt0050797,United States,Approved,,
tt0050801,Italy,,,
tt0050817,"Italy, France",,3 wins total,
tt0050822,United States,Approved,,
tt0050857,Italy,,,
tt0050858,United States,,1 nomination,
tt0050860,Italy,,,
tt0050887,"Italy, France",,,
tt0050897,Italy,,,
tt0050900,United States,Approved,,
tt0050905,West Germany,,,
tt0050913,France,,,
tt0050921,United States,Approved,,
tt0050924,Spain,,,
tt0050935,West Germany,,,
tt0050963,United States,Passed,,
tt0050974,Austria,,2 nominations total,
tt0050990,Italy,,,
tt0051052,United States,Approved,,
tt0051057,United Kingdom,Approved,,
tt0051060,Italy,,,
tt0051082,Soviet Union,,1 win total,
tt0051087,United States,Approved,Nominated for 1 Oscar. 2 nominations total,
tt0051114,United States,Approved,,
tt0051125,Italy,,,
tt0051142,Italy,,3 wins & 4 nominations,
tt0051146,Italy,,,
tt0051150,United States,Approved,,
tt0051155,"Spain, Italy",,Nominated for 1 Oscar. 5 wins & 2 nominations total,
tt0051179,United States,Approved,,
tt0051184,United Kingdom,,,
tt0051201,United States,Approved,Nominated for 6 Oscars. 3 wins & 15 nominations total,
tt0051349,United States,Approved,,
tt0051363,"Italy, France",,2 wins & 1 nomination,
tt0051364,United Kingdom,Approved,,
tt0051394,United States,Approved,,
tt0051398,United States,TV-G,,
tt0051420,United States,Approved,,
tt0051436,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0051438,United States,Approved,,
tt0051442,"Italy, Spain",,,
tt0051461,United States,Approved,,
tt0051463,"Italy, France",,,
tt0051482,United States,Passed,,
tt0051487,Italy,,,
tt0051568,France,,,
tt0051570,United States,Approved,,
tt0051581,United States,,,
tt0051604,France,,,
tt0051616,Italy,,,
tt0051628,United States,Approved,,
tt0051629,United States,Approved,,
tt0051649,United States,Approved,1 nomination total,
tt0051685,Italy,,,
tt0051686,United States,Approved,,
tt0051691,United States,Approved,,
tt0051692,United Kingdom,TV-PG,,
tt0051706,United Kingdom,Approved,1 nomination,
tt0051727,"Spain, Italy",,,
tt0051749,West Germany,,3 wins & 3 nominations,
tt0051780,"France, Italy",,,
tt0051784,Italy,,,
tt0051808,Japan,,4 wins & 1 nomination total,
tt0051849,United States,Approved,1 win,
tt0051852,"Italy, France",,2 wins & 1 nomination,
tt0051858,West Germany,,,
tt0051891,"Italy, France, United States",Approved,1 win & 3 nominations,
tt0051941,Italy,,1 win,
tt0051979,Italy,,,
tt0051984,Italy,,,
tt0051985,"Italy, France, West Germany, Yugoslavia",,,
tt0052009,Italy,,,
tt0052042,"Italy, Spain",,,
tt0052045,"Spain, Italy",,,
tt0052072,"Italy, France",,,
tt0052090,"Italy, France",,,
tt0052117,United States,Approved,4 nominations,
tt0052123,"Italy, France, Spain",,,
tt0052144,"West Germany, Italy",,,
tt0052162,West Germany,,,
tt0052184,Italy,,,
tt0052251,"Italy, France",,,
tt0052257,United States,Approved,,
tt0052275,United States,Approved,,
tt0052280,"Italy, France, Yugoslavia",Approved,2 wins & 4 nominations,
tt0052282,"Mexico, United States",,,
tt0052309,Italy,,,
tt0052318,"France, Italy",,,
tt0052351,"Italy, France",,,
tt0052357,United States,PG,Nominated for 2 Oscars. 9 wins & 8 nominations total,
tt0052358,West Germany,,1 win,
tt0052415,United States,Approved,Nominated for 3 Oscars. 1 win & 7 nominations total,
tt0052424,United States,,,
tt0052538,"Italy, Yugoslavia",,,
tt0052563,"United Kingdom, United States",Approved,,
tt0052570,"Italy, France",,,
tt0052574,Italy,,,
tt0052583,United States,,Won 1 BAFTA Award2 wins & 2 nominations total,
tt0052589,"Italy, France",,,
tt0052592,Italy,,,
tt0052604,"Italy, France, United States",,,
tt0052618,United States,G,Won 11 Oscars. 29 wins & 13 nominations total,
tt0052623,United Kingdom,Approved,,
tt0052627,United States,G,Nominated for 3 Oscars. 3 nominations total,
tt0052634,United Kingdom,,Nominated for 1 BAFTA Award1 nomination total,
tt0052670,"Italy, France",,,
tt0052673,United States,,Nominated for 3 Oscars. 1 win & 4 nominations total,
tt0052690,"France, Italy",,,
tt0052703,"Italy, France",,,
tt0052704,"Italy, France",,,
tt0052741,Spain,,,
tt0052749,United States,Approved,,
tt0052773,United Kingdom,,,
tt0052782,"Italy, France, Spain",G,,
tt0052783,Spain,,,
tt0052786,"Italy, France",,3 wins & 3 nominations,
tt0052789,Italy,,,
tt0052805,United Kingdom,Approved,1 nomination total,
tt0052817,"Italy, West Germany, United States",Approved,1 nomination,
tt0052865,Italy,,,
tt0052868,United States,,,
tt0052870,United States,Approved,,
tt0052877,United States,,,
tt0052908,United Kingdom,,,
tt0052941,United States,Approved,,
tt0052993,United States,Approved,1 nomination,
tt0052999,"Italy, France, Spain",Approved,,
tt0053018,"United Kingdom, West Germany",,,
tt0053026,United States,,,
tt0053031,"Italy, Spain",,,
tt0053069,United States,Approved,,
tt0053076,France,,,
tt0053105,Italy,,,
tt0053124,Italy,,,
tt0053126,United Kingdom,,Nominated for 3 BAFTA 3 nominations total,
tt0053128,"Italy, France",,,
tt0053142,United States,Approved,,
tt0053161,Italy,,,
tt0053210,Italy,,,
tt0053221,United States,Approved,4 wins & 5 nominations total,
tt0053226,United Kingdom,,Won 2 Oscars. 10 wins & 15 nominations total,
tt0053234,United Kingdom,,,
tt0053247,United Kingdom,Approved,,
tt0053252,"West Germany, France",,,
tt0053273,United Kingdom,,,
tt0053290,United States,,1 win & 1 nomination total,
tt0053320,United States,Approved,2 wins & 3 nominations,
tt0053332,United States,Approved,,
tt0053334,United States,Approved,,
tt0053335,United States,G,,
tt0053345,Italy,,,
tt0053346,Italy,,,
tt0053350,United States,Approved,,
tt0053351,United States,Approved,1 win & 1 nomination,
tt0053354,United Kingdom,Approved,,
tt0053359,United States,Approved,,
tt0053365,United Kingdom,,,
tt0053369,"West Germany, Mexico",,,
tt0053408,"Yugoslavia, Italy",,,
tt0053434,United States,Approved,1 nomination total,
tt0053457,United States,Approved,,
tt0053462,United States,Approved,Nominated for 3 Oscars. 5 nominations total,
tt0053465,Poland,,3 wins & 1 nomination,
tt0053580,United States,Approved,Won 1 Oscar. 7 wins & 8 nominations total,
tt0053598,"Italy, France",,,
tt0053601,"Italy, United States",Approved,,
tt0053610,United States,,,
tt0053617,"Mexico, Spain",,,
tt0053631,"France, Italy, Brazil",,,
tt0053632,Italy,,6 wins & 1 nomination,
tt0053634,"Italy, United States",,,
tt0053644,United States,Approved,,
tt0053654,United States,,,
tt0053696,"France, Italy",,,
tt0053697,Italy,,,
tt0053702,Italy,,,
tt0053709,Italy,,,
tt0053711,France,,,
tt0053715,United States,Approved,Nominated for 2 Oscars. 3 nominations total,
tt0053716,United States,,1 nomination,
tt0053752,"United Kingdom, United States",Approved,Nominated for 1 BAFTA Award1 nomination total,
tt0053762,United States,Approved,1 win,
tt0053770,West Germany,,,
tt0053780,"Italy, France",,,
tt0053781,Sweden,,1 nomination,
tt0053800,"Italy, United States",Approved,,
tt0053825,United States,Approved,,
tt0053860,Austria,,,
tt0053861,"Italy, France",,,
tt0053906,"France, Italy, West Germany",Approved,,
tt0053940,West Germany,,,
tt0053957,United States,Approved,Nominated for 1 Oscar. 4 nominations total,
tt0053993,United States,Approved,,
tt0054013,"Italy, France",Approved,,
tt0054044,"Italy, France, Yugoslavia",,,
tt0054053,United Kingdom,,,
tt0054080,Spain,,,
tt0054102,United States,Approved,Nominated for 1 Oscar. 2 nominations total,
tt0054112,United States,Approved,,
tt0054127,United States,Approved,1 win & 1 nomination total,
tt0054135,United States,Approved,2 nominations total,
tt0054185,"Italy, France",,,
tt0054189,"France, Italy",PG-13,1 win total,
tt0054204,United States,,,
tt0054214,"Spain, Italy",,5 wins,
tt0054215,United States,R,Nominated for 4 Oscars. 8 wins & 14 nominations total,
tt0054236,"France, Italy",Approved,,
tt0054239,Italy,,,
tt0054245,"Italy, Spain",,,
tt0054246,Italy,,,
tt0054259,France,,,
tt0054263,"Italy, France",Approved,,
tt0054267,"Italy, Yugoslavia",,,
tt0054284,"France, Spain",,,
tt0054295,United States,Approved,Nominated for 1 Oscar. 1 nomination total,
tt0054296,United States,Approved,,
tt0054305,Spain,PG-13,2 wins,
tt0054310,"United Kingdom, United States",Approved,2 nominations total,
tt0054331,United States,PG-13,Won 4 Oscars. 12 wins & 11 nominations total,
tt0054342,"United Kingdom, Israel",,,
tt0054343,United States,Approved,,
tt0054344,Italy,,,
tt0054356,Sweden,,,
tt0054357,United States,Approved,,
tt0054368,United Kingdom,Approved,,
tt0054382,"Italy, Yugoslavia",,,
tt0054407,"France, Italy",Approved,Nominated for 2 BAFTA 2 wins & 4 nominations total,
tt0054416,United Kingdom,Approved,,
tt0054422,"Italy, Spain, West Germany, Monaco",Approved,1 win,
tt0054423,"Italy, France",,,
tt0054436,Italy,,,
tt0054437,"Italy, France",Approved,,
tt0054446,United States,,Nominated for 1 Oscar. 1 nomination total,
tt0054457,United States,Approved,,
tt0054481,United States,Approved,,
tt0054503,"Italy, Spain",,,
tt0054586,Italy,Approved,,
tt0054637,"Italy, France, Spain",Approved,,
tt0054641,"Italy, France",,,
tt0054642,United States,Approved,,
tt0054650,"Italy, France",,,
tt0054660,Spain,,,
tt0054671,United States,Approved,,
tt0054678,"United Kingdom, Italy",Approved,Nominated for 2 BAFTA 1 win & 6 nominations total,
tt0054681,United States,Approved,,
tt0054687,United States,Approved,,
tt0054693,United States,,,
tt0054701,"France, United States",Approved,2 nominations total,
tt0054712,Italy,,,
tt0054715,"United Kingdom, Canada",TV-PG,,
tt0054721,"Italy, France",,,
tt0054722,Italy,,,
tt0054734,"France, Italy",,,
tt0054740,United Kingdom,,,
tt0054749,"Italy, France",,Won 1 Oscar. 11 wins & 3 nominations total,
tt0054755,United States,Approved,,
tt0054756,"Italy, France, Spain",Approved,,
tt0054757,United States,Approved,2 wins & 3 nominations total,
tt0054761,"France, Italy",,,
tt0054770,United States,,,
tt0054788,Italy,Approved,,
tt0054837,"France, Italy",,,
tt0054838,France,,1 win,
tt0054847,"Italy, United States",Approved,Nominated for 3 Oscars. 7 wins & 13 nominations total,
tt0054850,"Italy, West Germany",G,,
tt0054851,"Italy, France",,,
tt0054853,United States,Approved,,
tt0054870,"Italy, France",,,
tt0054874,United States,,,
tt0054875,"Spain, Italy, United States",,1 win,
tt0054890,"United States, Mexico",Approved,,
tt0054892,United States,Approved,,
tt0054895,Spain,,3 wins,
tt0054903,"Italy, France",,,
tt0054924,Italy,,,
tt0054926,Italy,,,
tt0054934,United States,,,
tt0054938,United Kingdom,Approved,,
tt0054943,United Kingdom,Approved,,
tt0054969,Mexico,,2 nominations,
tt0055018,"United Kingdom, United States",Approved,Nominated for 2 BAFTA 4 wins & 5 nominations total,
tt0055047,United States,PG-13,2 wins & 1 nomination,
tt0055058,United Kingdom,,,
tt0055073,United States,Approved,1 nomination,
tt0055087,"France, Italy",,,
tt0055115,Italy,Approved,,
tt0055116,Italy,,,
tt0055141,"Italy, France",Approved,,
tt0055146,United Kingdom,Approved,Nominated for 1 Oscar. 1 win & 2 nominations total,
tt0055169,Italy,,,
tt0055178,"Italy, France, United States",,,
tt0055182,"France, Italy",,,
tt0055192,"Italy, France",,,
tt0055214,"United Kingdom, United States",Approved,,
tt0055219,France,12,,
tt0055252,"West Germany, France, Italy",,,
tt0055254,United States,G,Won 1 BAFTA Award2 wins & 1 nomination total,
tt0055257,United States,,Nominated for 1 Oscar. 3 wins & 4 nominations total,
tt0055260,United States,,,
tt0055264,"Italy, Yugoslavia",,,
tt0055279,United States,Approved,,
tt0055296,Italy,,,
tt0055297,"Italy, France, West Germany",,,
