Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0060070,2023-04-05,2023-04-05,,"Adulterio all'italiana","Adulterio all'italiana",https://www.imdb.com/title/tt0060070/,Film,6.3,93,1966,"Commedia",243,1966-03-25,"Pasquale Festa Campanile",,
2,tt0048947,2023-04-05,2023-04-05,,"Anastasia","Anastasia",https://www.imdb.com/title/tt0048947/,Film,7.0,105,1956,"Biografico, Drammatico, Storico, Sentimentale",9848,1956-12-13,"Anatole Litvak",,
3,tt0058879,2023-04-05,2023-04-05,,"Agente S 03: Operazione Atlantide","Agente S 03: Operazione Atlantide",https://www.imdb.com/title/tt0058879/,Film,4.4,100,1965,"Avventura, Poliziesco, Fantascienza",130,1965-10-22,"Domenico Paolella",,
4,tt0056953,2023-04-05,2023-04-05,,"Agente Coplan: missione spionaggio","Coplan prend des risques",https://www.imdb.com/title/tt0056953/,Film,5.6,89,1964,"Azione, Drammatico",80,1964-05-06,"Maurice Labro",,
5,tt0353260,2023-04-05,2023-04-05,,"Assassinio sulla Costa Azzurra","Les bras de la nuit",https://www.imdb.com/title/tt0353260/,Film,6.3,90,1961,,24,1966,"Jacques Guymont",,
6,tt0199301,2023-04-05,2023-04-05,,"Adolescenti al sole","Adolescenti al sole",https://www.imdb.com/title/tt0199301/,Film,,,1964,,0,1964-04-14,"Giuseppe Aldo Rossi",,
7,tt0055759,2023-04-05,2023-04-05,,"Arsenio Lupin contro Arsenio Lupin","Arsène Lupin contre Arsène Lupin",https://www.imdb.com/title/tt0055759/,Film,5.9,111,1962,"Commedia, Poliziesco, Giallo",218,1962-08-29,"Édouard Molinaro",,
8,tt0046731,2023-04-05,2023-04-05,,"Attila","Attila",https://www.imdb.com/title/tt0046731/,Film,5.4,80,1954,"Biografico, Drammatico, Storico, Guerra",818,1955-11-15,"Pietro Francisci",,
9,tt0158462,2023-04-05,2023-04-05,,"Amore mio","Amore mio",https://www.imdb.com/title/tt0158462/,Film,6.3,95,1964,"Drammatico, Sentimentale",44,,"Raffaello Matarazzo",,
10,tt0039319,2023-04-05,2023-04-05,,"Il diavolo bianco","Il diavolo bianco",https://www.imdb.com/title/tt0039319/,Film,,100,1947,"Drammatico",0,1947-12-31,"Nunzio Malasomma",,
11,tt0191305,2023-04-05,2023-04-05,,"Melodia segreta","Nadia la femme traquée",https://www.imdb.com/title/tt0191305/,Film,,86,1940,,0,1940-12-20,"Claude Orval",,
12,tt0046735,2023-04-05,2023-04-05,,"Avanzi di galera","Avanzi di galera",https://www.imdb.com/title/tt0046735/,Film,5.9,94,1954,"Poliziesco, Drammatico",74,1954-09-18,"Vittorio Cottafavi",,
13,tt0054671,2023-04-05,2023-04-05,,"Battaglia sulla spiaggia insanguinata","Battle at Bloody Beach",https://www.imdb.com/title/tt0054671/,Film,5.4,83,1961,"Drammatico, Guerra",539,1961-06-01,"Herbert Coleman",,
14,tt0059638,2023-04-05,2023-04-05,,"L'armata delle belve","The Ravagers",https://www.imdb.com/title/tt0059638/,Film,4.9,88,1965,"Azione, Drammatico, Guerra",120,1965-02-07,"Eddie Romero",,
15,tt0048973,2023-04-05,2023-04-05,,"Baby Doll - La bambola viva","Baby Doll",https://www.imdb.com/title/tt0048973/,Film,7.3,114,1956,"Commedia, Drammatico",8656,1957-02-28,"Elia Kazan",,
16,tt0268576,2023-04-05,2023-04-05,,"A 117 colpo grosso a Los Angeles","The Right Hand of the Devil",https://www.imdb.com/title/tt0268576/,Film,5.2,67,1963,"Poliziesco, Drammatico",82,1966,"Aram Katcher",,
17,tt0057343,2023-04-05,2023-04-05,,"Le avventure di Scaramouche","La máscara de Scaramouche",https://www.imdb.com/title/tt0057343/,Film,6.0,98,1963,"Avventura",136,1964-02-14,"Antonio Isasi-Isasmendi",,
18,tt0058883,2023-04-05,2023-04-05,,"Agente S3S: operazione Uranio","Der Fluch des schwarzen Rubin",https://www.imdb.com/title/tt0058883/,Film,5.1,102,1965,"Azione, Drammatico",91,1965-09-24,"Manfred R. Köhler",,
19,tt0043072,2023-04-05,2023-04-05,,"I conquistatori della Sirte","Tripoli",https://www.imdb.com/title/tt0043072/,Film,5.7,95,1950,"Azione, Avventura, Storico, Sentimentale, Guerra",540,1950-11-09,"Will Price",,
20,tt0056917,2023-04-05,2023-04-05,,"100.000 dollari al sole","Cent mille dollars au soleil",https://www.imdb.com/title/tt0056917/,Film,7.0,130,1964,"Azione, Avventura, Commedia",2905,1964-08-12,"Henri Verneuil",,
21,tt0045966,2023-04-05,2023-04-05,,"I cavalieri della tavola rotonda","Knights of the Round Table",https://www.imdb.com/title/tt0045966/,Film,6.2,115,1953,"Azione, Avventura, Drammatico, Sentimentale",4228,1954-01-15,"Richard Thorpe",,
22,tt0040636,2023-04-05,2023-04-05,,"La città nuda","The Naked City",https://www.imdb.com/title/tt0040636/,Film,7.5,96,1948,"Poliziesco, Drammatico, Noir, Giallo, Thriller",16269,1948-11-18,"Jules Dassin",,
23,tt0056957,2023-04-05,2023-04-05,,"Il coltello nella piaga","Le couteau dans la plaie",https://www.imdb.com/title/tt0056957/,Film,6.2,112,1962,"Poliziesco, Drammatico",1331,1962-12-12,"Anatole Litvak",,
24,tt0056939,2023-04-05,2023-04-05,,"Il comandante","Il comandante",https://www.imdb.com/title/tt0056939/,Film,6.7,109,1963,"Commedia",152,1963-12-23,"Paolo Heusch",,
25,tt0058407,2023-04-05,2023-04-05,,"Le calde amanti di Kyoto","Nihiki no mesu inu",https://www.imdb.com/title/tt0058407/,Film,6.7,80,1964,"Poliziesco",9,1964-10,"Yûsuke Watanabe",,
26,tt0055865,2023-04-05,2023-04-05,,"La congiura dei dieci","La congiura dei dieci",https://www.imdb.com/title/tt0055865/,Film,5.8,97,1962,"Avventura, Sentimentale",371,1962-10-19,"Baccio Bandini, Etienne Périer",,
27,tt0055484,2023-04-05,2023-04-05,,"La camera blindata","Strongroom",https://www.imdb.com/title/tt0055484/,Film,7.2,80,1962,"Poliziesco, Drammatico, Thriller",697,1962-06-03,"Vernon Sewell",,
28,tt0060049,2023-04-05,2023-04-05,,"5 tombe per un medium","5 tombe per un medium",https://www.imdb.com/title/tt0060049/,Film,5.5,87,1965,"Horror",1269,1965-06-23,"Massimo Pupillo",,
29,tt0256102,2023-04-05,2023-04-05,,"La città vietata","Inshalla: Razzia Am Bosporus",https://www.imdb.com/title/tt0256102/,Film,6.0,90,1958,"Avventura, Poliziesco",28,1962-08-24,"Carl Möhner",,
30,tt0058534,2023-04-05,2023-04-05,,"Il cantante del luna park","Roustabout",https://www.imdb.com/title/tt0058534/,Film,6.0,101,1964,"Drammatico, Musica, Musical, Sentimentale",3446,1965-02-06,"John Rich",,
31,tt0058706,2023-04-05,2023-04-05,,"Chiamate Scotland Yard 0075","Das Ungeheuer von London-City",https://www.imdb.com/title/tt0058706/,Film,5.8,90,1964,"Poliziesco, Horror",307,1964-07-02,"Edwin Zbonek",,
32,tt0050772,2023-04-05,2023-04-05,,"Club di gangsters","No Road Back",https://www.imdb.com/title/tt0050772/,Film,5.7,83,1957,"Azione, Poliziesco, Drammatico",159,1959-10-19,"Montgomery Tully",,
33,tt0056937,2023-04-05,2023-04-05,,"Cleopatra","Cleopatra",https://www.imdb.com/title/tt0056937/,Film,7.0,320,1963,"Biografico, Drammatico, Storico, Sentimentale",39245,1964-01-30,"Joseph L. Mankiewicz, Rouben Mamoulian",,
34,tt0051482,2023-04-05,2023-04-05,,"Cole il fuorilegge","Cole Younger, Gunfighter",https://www.imdb.com/title/tt0051482/,Film,5.9,78,1958,"Western",293,1958-03-30,"R.G. Springsteen",,
35,tt0058166,2023-04-05,2023-04-05,,"Cannoni a batasi","Guns at Batasi",https://www.imdb.com/title/tt0058166/,Film,7.1,103,1964,"Drammatico, Storico, Guerra",2036,1964-09-25,"John Guillermin",,
36,tt0052749,2023-04-05,2023-04-05,,"C'era una volta un piccolo naviglio","Don't Give Up the Ship",https://www.imdb.com/title/tt0052749/,Film,6.3,89,1959,"Commedia",906,1959-07-03,"Norman Taurog",,
37,tt0166150,2023-04-05,2023-04-05,,"Con rispetto parlando","Con rispetto parlando",https://www.imdb.com/title/tt0166150/,Film,5.0,98,1965,"Commedia",10,1965-08-14,"Marcello Ciorciolini",,
38,tt0031642,2023-04-05,2023-04-05,,"La mia canzone al vento","La mia canzone al vento",https://www.imdb.com/title/tt0031642/,Film,,82,1939,"Musical, Commedia",0,1939-10,"Guido Brignone",,
39,tt0031856,2023-04-05,2023-04-05,,"Ricchezza senza domani","Ricchezza senza domani",https://www.imdb.com/title/tt0031856/,Film,,82,1940,,0,1940-01-25,"Ferdinando Maria Poggioli",,
40,tt0037793,2023-04-05,2023-04-05,,"La casa degli orrori","House of Dracula",https://www.imdb.com/title/tt0037793/,Film,5.7,67,1945,"Fantastico, Horror, Fantascienza",6487,1945-12-07,"Erle C. Kenton",,
41,tt0040362,2023-04-05,2023-04-05,,"Follie per l'opera","Follie per l'opera",https://www.imdb.com/title/tt0040362/,Film,6.0,94,1948,"Commedia, Musical",85,1948-08-10,"Mario Costa",,
42,tt0037008,2023-04-05,2023-04-05,,"Vertigine","Laura",https://www.imdb.com/title/tt0037008/,Film,7.9,88,1944,"Drammatico, Noir, Giallo",53733,1946-06-05,"Otto Preminger, Rouben Mamoulian",,
43,tt0026032,2023-04-05,2023-04-05,,"Il sultano rosso","Abdul the Damned",https://www.imdb.com/title/tt0026032/,Film,5.8,111,1935,"Drammatico, Storico",110,1935-09-23,"Karl Grune",,
44,tt0038183,2023-04-05,2023-04-05,,"Torna... a Sorrento","Torna... a Sorrento",https://www.imdb.com/title/tt0038183/,Film,5.7,95,1945,"Commedia, Musical",25,1946-01-05,"Carlo Ludovico Bragaglia",,
45,tt0025493,2023-04-05,2023-04-05,,"La vedova allegra","The Merry Widow",https://www.imdb.com/title/tt0025493/,Film,7.2,99,1934,"Commedia, Musical, Sentimentale",3440,1934-11-02,"Ernst Lubitsch",,
46,tt0039015,2023-04-05,2023-04-05,,"Tentazione","Temptation",https://www.imdb.com/title/tt0039015/,Film,6.5,98,1946,"Drammatico, Noir, Thriller",430,1946-12-02,"Irving Pichel",,
47,tt0028683,2023-04-05,2023-04-05,,"Margherita Gauthier","Camille",https://www.imdb.com/title/tt0028683/,Film,7.3,109,1936,"Drammatico, Sentimentale",9106,1937-02-24,"George Cukor",,
48,tt0023826,2023-04-05,2023-04-05,,"Anime alla deriva","Bondage",https://www.imdb.com/title/tt0023826/,Film,,67,1933,"Drammatico",0,1933-04-22,"Alfred Santell",,
49,tt0035446,2023-04-05,2023-04-05,,"Vogliamo vivere!","To Be or Not to Be",https://www.imdb.com/title/tt0035446/,Film,8.1,99,1942,"Commedia, Sentimentale, Guerra",46907,1946-12-12,"Ernst Lubitsch",,
50,tt0036983,2023-04-05,2023-04-05,,"Le chiavi del paradiso","The Keys of the Kingdom",https://www.imdb.com/title/tt0036983/,Film,7.2,137,1944,"Drammatico, Guerra",3259,1944-12-15,"John M. Stahl",,
51,tt0039682,2023-04-05,2023-04-05,,"L'onorevole Angelina","L'onorevole Angelina",https://www.imdb.com/title/tt0039682/,Film,7.1,90,1947,"Commedia, Drammatico",582,1947-11-12,"Luigi Zampa",,
52,tt0038408,2023-04-05,2023-04-05,,"Il cantante sconosciuto","Le chanteur inconnu",https://www.imdb.com/title/tt0038408/,Film,6.0,90,1947,"Drammatico",33,1947-04-25,"André Cayatte",,
53,tt0033431,2023-04-05,2023-04-05,,"Il bravo di Venezia","Il bravo di Venezia",https://www.imdb.com/title/tt0033431/,Film,5.2,85,1941,,22,1941-09-17,"Carlo Campogalliani",,
54,tt0032871,2023-04-05,2023-04-05,,"Sul sentiero dei mostri","One Million B.C.",https://www.imdb.com/title/tt0032871/,Film,5.7,80,1940,"Avventura, Fantastico, Sentimentale",1812,1940-04-05,"Hal Roach Jr., Hal Roach",,
55,tt0034331,2023-04-05,2023-04-05,,"Gli ultimi filibustieri","Gli ultimi filibustieri",https://www.imdb.com/title/tt0034331/,Film,3.9,82,1943,"Avventura",12,1943-02,"Marco Elter",,
56,tt0039854,2023-04-05,2023-04-05,,"Sono io l'assassino","Sono io l'assassino",https://www.imdb.com/title/tt0039854/,Film,,92,1948,,0,1948-02-17,"Roberto Bianchi Montero",,
57,tt0039381,2023-04-05,2023-04-05,,"La figlia del capitano","La figlia del capitano",https://www.imdb.com/title/tt0039381/,Film,6.6,102,1947,"Avventura",58,1947-10-08,"Mario Camerini",,
58,tt0035740,2023-04-05,2023-04-05,,"Città senza uomini","City Without Men",https://www.imdb.com/title/tt0035740/,Film,5.2,75,1943,"Poliziesco, Drammatico, Noir",188,1943-01-14,"Sidney Salkow",,
59,tt0039256,2023-04-05,2023-04-05,,"I cavalieri dalle maschere nere (I beati paoli)","I cavalieri dalle maschere nere (I beati paoli)",https://www.imdb.com/title/tt0039256/,Film,5.6,,1948,"Azione, Avventura, Giallo",24,1948-11-02,"Pino Mercanti",,
60,tt0039004,2023-04-05,2023-04-05,,"La sinfonia pastorale","La symphonie pastorale",https://www.imdb.com/title/tt0039004/,Film,6.8,110,1946,"Drammatico",644,1946-09-26,"Jean Delannoy",,
61,tt0039696,2023-04-05,2023-04-05,,"Il passatore","Il passatore",https://www.imdb.com/title/tt0039696/,Film,6.0,94,1947,"Drammatico, Avventura",66,1947-10-22,"Duilio Coletti",,
62,tt0034023,2023-04-05,2023-04-05,,"Piccolo mondo antico","Piccolo mondo antico",https://www.imdb.com/title/tt0034023/,Film,6.4,106,1941,"Drammatico",216,1941-04-10,"Mario Soldati",,
63,tt0031075,2023-04-05,2023-04-05,,"Ballo al castello","Ballo al castello",https://www.imdb.com/title/tt0031075/,Film,4.1,95,1939,"Drammatico, Sentimentale",13,1939-10-01,"Max Neufeld",,
64,tt0034803,2023-04-05,2023-04-05,,"La Gorgona","La Gorgona",https://www.imdb.com/title/tt0034803/,Film,5.8,85,1942,"Drammatico, Storico",7,1942-10-12,"Guido Brignone",,
65,tt0034993,2023-04-05,2023-04-05,,"Fiamme sul Messico","Texas Justice",https://www.imdb.com/title/tt0034993/,Film,7.0,58,1942,"Drammatico, Western",39,1942-06-05,"Sam Newfield",,
66,tt0038570,2023-04-05,2023-04-05,,"La gondola del diavolo","La gondola del diavolo",https://www.imdb.com/title/tt0038570/,Film,5.1,125,1946,"Avventura",23,1946-11-21,"Carlo Campogalliani",,
67,tt0036826,2023-04-05,2023-04-05,,"Fiori d'arancio","Fiori d'arancio",https://www.imdb.com/title/tt0036826/,Film,5.6,,1944,,8,,"Dino Hobbes Cecchini",,
68,tt0035260,2023-04-05,2023-04-05,,"Rita da Cascia","Rita da Cascia",https://www.imdb.com/title/tt0035260/,Film,6.7,83,1943,"Biografico",9,1943-05-31,"Antonio Leonviola",,
69,tt0033390,2023-04-05,2023-04-05,,"Il mistero dei tre sosia","Billy the Kid Trapped",https://www.imdb.com/title/tt0033390/,Film,5.1,59,1942,"Western",228,1942-02-27,"Sam Newfield",,
70,tt0034429,2023-04-05,2023-04-05,,"Addio Kira!","Addio Kira!",https://www.imdb.com/title/tt0034429/,Film,7.3,96,1942,"Drammatico, Sentimentale",127,1942-11-04,"Goffredo Alessandrini",,
71,tt0026348,2023-04-05,2023-04-05,,"Fiat voluntas dei","Fiat voluntas dei",https://www.imdb.com/title/tt0026348/,Film,6.4,80,1936,"Commedia, Drammatico",18,1936-07-05,"Amleto Palermi",,
72,tt0038506,2023-04-05,2023-04-05,,"L'eco della gloria","Les beaux jours du roi Murat",https://www.imdb.com/title/tt0038506/,Film,4.5,85,1947,"Drammatico, Storico, Musical",16,1948-06-02,"Théophile Pathé",,
73,tt0038493,2023-04-05,2023-04-05,,"Tragico inganno","Un drama nuevo",https://www.imdb.com/title/tt0038493/,Film,6.8,92,1946,"Drammatico",23,1948-04-15,"Juan de Orduña",,
74,tt0038942,2023-04-05,2023-04-05,,"Sinfonia fatale","Sinfonia fatale",https://www.imdb.com/title/tt0038942/,Film,5.6,91,1947,"Drammatico, Sentimentale, Guerra",10,1947-05,"Victor Stoloff",,
75,tt0034777,2023-04-05,2023-04-05,,"Io la difendo","A Gentleman After Dark",https://www.imdb.com/title/tt0034777/,Film,6.6,74,1942,"Avventura, Poliziesco, Drammatico",141,1946-11,"Edwin L. Marin",,
76,tt0034242,2023-04-05,2023-04-05,,"Inferno nel deserto","Sundown",https://www.imdb.com/title/tt0034242/,Film,5.6,90,1941,"Drammatico, Guerra",1100,1941-10-31,"Henry Hathaway",,
77,tt0039781,2023-04-05,2023-04-05,,"Rocambole","Rocambole",https://www.imdb.com/title/tt0039781/,Film,5.9,105,1947,"Drammatico",33,1948-02-18,"Jacques de Baroncelli",,
78,tt0039774,2023-04-05,2023-04-05,,"La rivincita di Baccarat","La revanche de Baccarat",https://www.imdb.com/title/tt0039774/,Film,5.3,95,1947,,14,1948-02-25,"Jacques de Baroncelli",,
79,tt0036413,2023-04-05,2023-04-05,,"T'amerò sempre","T'amerò sempre",https://www.imdb.com/title/tt0036413/,Film,6.3,78,1943,"Drammatico, Sentimentale",47,1943-11-05,"Mario Camerini",,
80,tt0162234,2023-04-05,2023-04-05,,"Che distinta famiglia!","Che distinta famiglia!",https://www.imdb.com/title/tt0162234/,Film,5.5,78,1945,"Commedia",15,1945-10-03,"Mario Bonnard",,
81,tt0034894,2023-04-05,2023-04-05,,"Incontri di notte","Incontri di notte",https://www.imdb.com/title/tt0034894/,Film,,92,1943,,0,1943-03-17,"Nunzio Malasomma",,
82,tt0039059,2023-04-05,2023-04-05,,"Ultimo amore","Ultimo amore",https://www.imdb.com/title/tt0039059/,Film,,106,1947,"Drammatico",0,1947-04-05,"Luigi Chiarini",,
83,tt0031146,2023-04-05,2023-04-05,,"Centomila dollari","Centomila dollari",https://www.imdb.com/title/tt0031146/,Film,5.6,83,1940,"Commedia",29,1940-03-23,"Mario Camerini",,
84,tt0032865,2023-04-05,2023-04-05,,"Oltre l'amore","Oltre l'amore",https://www.imdb.com/title/tt0032865/,Film,3.6,96,1940,"Drammatico",12,1940-09-02,"Carmine Gallone",,
85,tt0038719,2023-04-05,2023-04-05,,"Malacarne","Malacarne",https://www.imdb.com/title/tt0038719/,Film,6.5,105,1946,"Drammatico",15,1946-12-12,"Pino Mercanti",,
86,tt0033588,2023-04-05,2023-04-05,,"Fari nella nebbia","Fari nella nebbia",https://www.imdb.com/title/tt0033588/,Film,6.9,87,1942,"Drammatico",85,1942-02-15,"Gianni Franciolini",,
87,tt0034893,2023-04-05,2023-04-05,,"Gioventù traviata","Les inconnus dans la maison",https://www.imdb.com/title/tt0034893/,Film,7.0,95,1942,"Poliziesco, Drammatico",510,1948,"Henri Decoin",,
88,tt0034936,2023-04-05,2023-04-05,,"Prigioniera di un segreto","Keeper of the Flame",https://www.imdb.com/title/tt0034936/,Film,6.7,100,1942,"Drammatico, Giallo",3372,1948-12-21,"George Cukor",,
89,tt0033127,2023-04-05,2023-04-05,,"Prigione d'amore","Sérénade",https://www.imdb.com/title/tt0033127/,Film,5.9,90,1940,"Drammatico",19,1940-02-28,"Jean Boyer",,
90,tt0039039,2023-04-05,2023-04-05,,"Il tiranno di Padova","Il tiranno di Padova",https://www.imdb.com/title/tt0039039/,Film,4.2,,1946,,15,1946-12-28,"Max Neufeld",,
91,tt0039198,2023-04-05,2023-04-05,,"Bionda selvaggia","Blonde Savage",https://www.imdb.com/title/tt0039198/,Film,4.7,62,1947,"Azione, Avventura, Fantastico",247,1947-11-22,"Steve Sekely",,
92,tt0039342,2023-04-05,2023-04-05,,"I due orfanelli","I due orfanelli",https://www.imdb.com/title/tt0039342/,Film,6.0,90,1947,"Commedia",178,1947-11-27,"Mario Mattoli",,
93,tt0027887,2023-04-05,2023-04-05,,"Appuntamento alle 5","The Lilac Domino",https://www.imdb.com/title/tt0027887/,Film,6.6,79,1937,"Musical, Sentimentale",18,1937-04,"Frederic Zelnik",,
94,tt0215327,2023-04-05,2023-04-05,,"Il ventesimo duca","Il ventesimo duca",https://www.imdb.com/title/tt0215327/,Film,,78,1945,,0,1945-07-15,"Lucio De Caro",,
95,tt0041609,2023-04-05,2023-04-05,,"Il lupo della Sila","Il lupo della Sila",https://www.imdb.com/title/tt0041609/,Film,6.8,95,1949,"Drammatico",150,1949-12-27,"Duilio Coletti",,
96,tt0038220,2023-04-05,2023-04-05,,"Le vie del peccato","Le vie del peccato",https://www.imdb.com/title/tt0038220/,Film,,90,1946,,0,1946-10-19,"Giorgio Pastina",,
97,tt0202713,2023-04-05,2023-04-05,,"L'eterno conflitto","Éternel conflit",https://www.imdb.com/title/tt0202713/,Film,5.8,95,1948,"Drammatico",62,1949,"Georges Lampin",,
98,tt0026188,2023-04-05,2023-04-05,,"Casta diva","Casta diva",https://www.imdb.com/title/tt0026188/,Film,6.1,87,1935,"Biografico, Drammatico, Musica",34,1935-06-14,"Carmine Gallone",,
99,tt0036214,2023-04-05,2023-04-05,,"Non canto più","Non canto più",https://www.imdb.com/title/tt0036214/,Film,,76,1945,"Commedia",0,1945-09-30,"Riccardo Freda",,
100,tt0041119,2023-04-05,2023-04-05,,"Amori e veleni","Amori e veleni",https://www.imdb.com/title/tt0041119/,Film,4.6,80,1950,"Avventura, Drammatico",14,1950-02-21,"Giorgio Simonelli",,
101,tt0037925,2023-04-05,2023-04-05,,"Monaca santa","Monaca santa",https://www.imdb.com/title/tt0037925/,Film,,91,1949,"Drammatico",0,1949-07,"Guido Brignone",,
102,tt0042303,2023-04-05,2023-04-05,,"Campane a martello","Campane a martello",https://www.imdb.com/title/tt0042303/,Film,6.5,109,1949,"Drammatico",148,1949-09-16,"Luigi Zampa",,
103,tt0034882,2023-04-05,2023-04-05,,"Musica sulle nuvole","I Married an Angel",https://www.imdb.com/title/tt0034882/,Film,5.7,84,1942,"Commedia, Fantastico, Musical, Sentimentale",619,1942-07-09,"W.S. Van Dyke, Roy Del Ruth",,
104,tt0033017,2023-04-05,2023-04-05,,"San Giovanni decollato","San Giovanni decollato",https://www.imdb.com/title/tt0033017/,Film,6.5,89,1940,"Commedia",228,1940-12-12,"Amleto Palermi, Giorgio Bianchi",,
105,tt0039949,2023-04-05,2023-04-05,,"E' accaduto in Europa","Valahol Európában",https://www.imdb.com/title/tt0039949/,Film,7.6,100,1947,"Drammatico",1143,1947-12-23,"Géza von Radványi",,
106,tt0032728,2023-04-05,2023-04-05,,"Lungo viaggio di ritorno","The Long Voyage Home",https://www.imdb.com/title/tt0032728/,Film,6.9,105,1940,"Drammatico, Guerra",5259,1949-08-27,"John Ford",,
107,tt0041684,2023-04-05,2023-04-05,,"Napoli eterna canzone","Napoli eterna canzone",https://www.imdb.com/title/tt0041684/,Film,,90,1949,"Drammatico",0,,"Silvio Siano",,
108,tt0041739,2023-04-05,2023-04-05,,"Patto col diavolo","Patto col diavolo",https://www.imdb.com/title/tt0041739/,Film,,84,1949,"Drammatico",0,1950-06,"Luigi Chiarini",,
109,tt0033807,2023-04-05,2023-04-05,,"La ribelle del West","The Lady from Cheyenne",https://www.imdb.com/title/tt0033807/,Film,6.1,88,1941,"Commedia, Drammatico, Western",173,1941-04-11,"Frank Lloyd",,
110,tt0040568,2023-04-05,2023-04-05,,"Alba di sangue","Mare nostrum",https://www.imdb.com/title/tt0040568/,Film,6.2,90,1948,"Drammatico",63,1949,"Rafael Gil",,
111,tt0041843,2023-04-05,2023-04-05,,"Santo disonore","Santo disonore",https://www.imdb.com/title/tt0041843/,Film,,90,1950,"Drammatico",0,1950-03-24,"Guido Brignone",,
112,tt0041974,2023-04-05,2023-04-05,,"Totò cerca casa","Totò cerca casa",https://www.imdb.com/title/tt0041974/,Film,6.5,79,1949,"Commedia",543,1950-11-24,"Mario Monicelli, Steno",,
113,tt0024216,2023-04-06,2023-04-06,,"King Kong","King Kong",https://www.imdb.com/title/tt0024216/,Film,7.9,100,1933,"Avventura, Horror",93609,1933-12-02,"Merian C. Cooper, Ernest B. Schoedsack",,
114,tt0041126,2023-04-06,2023-04-06,,"Antonio di Padova","Antonio di Padova",https://www.imdb.com/title/tt0041126/,Film,5.2,81,1949,"Drammatico",24,1949-03-20,"Pietro Francisci",,
115,tt0031876,2023-04-06,2023-04-06,,"Rosa di sangue","Angélica",https://www.imdb.com/title/tt0031876/,Film,5.6,95,1939,"Azione, Avventura, Western",31,1939-02-17,"Jean Choux",,
116,tt0040640,2023-04-06,2023-04-06,,"Nennella","Nennella",https://www.imdb.com/title/tt0040640/,Film,,,1948,,0,,"Renato May",,
117,tt0038492,2023-04-06,2023-04-06,,"Il castello di Dragonwyck","Dragonwyck",https://www.imdb.com/title/tt0038492/,Film,6.9,103,1946,"Drammatico, Giallo, Sentimentale, Thriller",5747,1947-05-17,"Joseph L. Mankiewicz",,
118,tt0030725,2023-04-06,2023-04-06,,"Duello col pirata nero","The Secret of Treasure Island",https://www.imdb.com/title/tt0030725/,Film,4.8,300,1938,"Azione, Avventura, Poliziesco, Sentimentale, Fantascienza, Thriller",231,1938-03-17,"Elmer Clifton",,
119,tt0165938,2023-04-06,2023-04-06,,"Secrets of a Co-Ed","Secrets of a Co-Ed",https://www.imdb.com/title/tt0165938/,Film,5.3,67,1942,"Poliziesco, Drammatico",57,1942-10-26,"Joseph H. Lewis",,
120,tt0041991,2023-04-06,2023-04-06,,"Il trovatore","Il trovatore",https://www.imdb.com/title/tt0041991/,Film,6.5,111,1949,"Musical",46,1949-04-16,"Carmine Gallone",,
121,tt0035360,2023-04-06,2023-04-06,,"Il figlio della furia","Son of Fury: The Story of Benjamin Blake",https://www.imdb.com/title/tt0035360/,Film,7.1,98,1942,"Drammatico, Sentimentale",1932,1942-01-29,"John Cromwell",,
122,tt0038279,2023-04-06,2023-04-06,,"Il 13 non risponde","13 Rue Madeleine",https://www.imdb.com/title/tt0038279/,Film,6.9,95,1947,"Azione, Avventura, Drammatico, Thriller, Guerra",3163,1947-03-03,"Henry Hathaway",,
123,tt0038813,2023-04-06,2023-04-06,,"Vita rubata","La otra",https://www.imdb.com/title/tt0038813/,Film,7.5,98,1946,"Poliziesco, Drammatico, Giallo, Thriller",645,1946-11-20,"Roberto Gavaldón",,
124,tt0200523,2023-04-06,2023-04-06,,"Il demone della gelosia","Celos",https://www.imdb.com/title/tt0200523/,Film,6.8,95,1947,"Drammatico",16,1947-04-23,"Mario Soffici",,
125,tt0022641,2023-04-06,2023-04-06,,"Come tu mi vuoi","As You Desire Me",https://www.imdb.com/title/tt0022641/,Film,6.2,70,1932,"Drammatico, Sentimentale",799,1932-05-28,"George Fitzmaurice",,
126,tt0037672,2023-04-06,2023-04-06,,"La foresta incantata","The Enchanted Forest",https://www.imdb.com/title/tt0037672/,Film,6.2,78,1945,"Drammatico, Per famiglie",215,1945-12-08,"Lew Landers",,
127,tt0039809,2023-04-06,2023-04-06,,"Il segreto di Don Giovanni","Il segreto di Don Giovanni",https://www.imdb.com/title/tt0039809/,Film,,106,1947,"Drammatico",0,1947-11-28,"Camillo Mastrocinque",,
128,tt0040774,2023-04-06,2023-04-06,,"La sepolta viva","La sepolta viva",https://www.imdb.com/title/tt0040774/,Film,5.9,83,1949,"Drammatico, Storico",13,1949-02-23,"Guido Brignone",,
129,tt0038232,2023-04-06,2023-04-06,,"Il demone della carne","Vértigo",https://www.imdb.com/title/tt0038232/,Film,7.5,82,1946,"Drammatico",87,1946-02-14,"Antonio Momplet",,
130,tt0039536,2023-04-06,2023-04-06,,"Il bacio della morte","Kiss of Death",https://www.imdb.com/title/tt0039536/,Film,7.4,99,1947,"Poliziesco, Drammatico, Noir, Thriller",10064,1948-09-13,"Henry Hathaway",,
