date,const,title,income,source
1955-10-17,tt0168694,Una donna prega,15000,Fedi 1954-55
1955-10-21,tt0044973,Noi peccatori,,Fedi 1954-55
1955-10-26,tt0045298,La voce del sangue,10000,Fedi 1954-55
1955-10-29,tt0038882,Rigoletto,10500,Fedi 1954-55
1955-10-31,tt0044474,Il cappotto,9000,Fedi 1954-55
1955-11-03,tt0045615,La cavallina storna,13400,"Fedi 1954-55, Bruzia 1954-55"
1955-11-08,tt0045908,In amore si pecca in due,,Fedi 1954-55
1955-11-12,tt0043949,Quo Vadis,20000,Fedi 1954-55
1955-11-16,tt0041324,La regina della Sierra Morena,9500,Fedi 1954-55
1955-11-21,tt0045705,Dramma nella Kasbah,8500,"Fedi 1954-55, Bruzia 1954-55"
1955-11-25,tt0043532,I figli di nessuno,,"Fedi 1954-55, Bruzia 1954-55"
1955-11-28,tt0045596,Canto per te,,Bruzia 1954-55
1955-11-30,tt0043115,Vittime del peccato,,Fedi 1954-55
1955-12-06,tt0046097,Il mostro dell'isola,,Fedi 1954-55
1955-12-09,tt0044898,Menzogna,10000,"Fedi 1954-55, Bruzia 1954-55"
1955-12-14,tt0046818,La campana di San Giusto,25000,Fedi 1954-55
1955-12-17,tt0045125,Scaramouche,,"Fedi 1954-55, Bruzia 1954-55"
1955-12-20,tt0045536,Balocchi e profumi,12500,"Fedi 1954-55, Bruzia 1954-55"
1955-12-24,tt0046023,Maddalena,,"Fedi 1954-55, Bruzia 1954-55"
1955-12-26,tt0045596,Canto per te,,Fedi 1954-55
1955-12-28,tt0045981,Labbra proibite,,"Fedi 1954-55, Bruzia 1954-55"
1955-12-31,tt0046525,Vortice,22000,Fedi 1954-55
1956-01-01,tt0046525,Vortice,,Bruzia 1955-56
1956-01-02,tt0047631,Ultima illusione,,Bruzia 1955-56
1956-01-06,tt0047567,"Teodora, imperatrice di Bisanzio",,Bruzia 1955-56
1956-01-09,tt0044660,Gioventù alla sbarra,,Bruzia 1955-56
1956-01-11,tt0040601,La giovane guardia,,Bruzia 1955-56
1956-01-16,tt0043511,Europa '51,,Bruzia 1955-56
1956-01-23,tt0040643,La notte ha mille occhi,8000,Bruzia 1955-56
1956-01-31,tt0045055,Processo contro ignoti,7000,Bruzia 1955-56
1956-02-04,tt0045098,Roma ore 11,,Bruzia 1955-56
1956-02-04,tt0047630,Ulisse,,Bruzia 1955-56
1956-02-06,tt0046309,Siamo donne,,Bruzia 1955-56
1956-02-07,tt0041260,Alto tradimento,,Bruzia 1955-56
1956-02-08,tt0039152,L'ultima conquista,,Bruzia 1955-56
1956-02-10,tt0045255,I tre corsari,,Bruzia 1955-56
1956-02-16,tt0041755,Un treno va in Oriente,,Bruzia 1955-56
1956-02-17,tt0046310,Siamo ricchi e poveri,,Bruzia 1955-56
1956-02-18,tt0045241,Gli amanti di Toledo,,Bruzia 1955-56
1956-02-24,tt0044770,Jolanda la figlia del corsaro nero,,Bruzia 1955-56
1956-02-28,tt0044183,La vendetta di Aquila Nera,,Bruzia 1955-56
1956-03-03,tt0045255,I tre corsari,,Bruzia 1955-56
1956-03-06,tt0042971,Maria di Magdala,,Bruzia 1955-56
1956-03-09,tt0046868,La contessa di Castiglione,,Bruzia 1955-56
1956-03-12,tt0042406,Don Juan: La spada di Siviglia,,Bruzia 1955-56
1956-03-17,tt0038499,Duello al sole,,Bruzia 1955-56
1956-03-19,tt0046824,Canzone d'amore,,Bruzia 1955-56
1956-03-21,tt0027415,Il falco nero,,Bruzia 1955-56
1956-03-24,tt0046731,Attila,,Bruzia 1955-56
1956-03-31,tt0046837,Casta diva,,Bruzia 1955-56
1956-04-02,tt0042359,La spada del giustiziere (Il cavaliere invincibile),,Bruzia 1955-56
1956-04-07,tt0176756,Un giglio infranto,,Bruzia 1955-56
1956-04-11,tt0040854,Il vendicatore di Manila,,Bruzia 1955-56
1956-04-13,tt0046833,Casa Ricordi,,Bruzia 1955-56
1956-04-17,tt0044022,Serenata tragica (Guapparia),,Bruzia 1955-56
1956-04-21,tt0045804,La prigioniera del maharajah,,Bruzia 1955-56
1956-04-24,tt0043593,La calata dei mongoli,,Bruzia 1955-56
1956-04-28,tt0045241,Gli amanti di Toledo,,Bruzia 1955-56
1956-04-30,tt0044934,La muta di Portici,,Bruzia 1955-56
1956-05-05,tt0049094,La cortigiana di Babilonia,,Bruzia 1955-56
1956-05-09,tt0046744,Ballata tragica,,Bruzia 1955-56
1956-05-12,tt0046941,Due soldi di felicità,,Bruzia 1955-56
1956-05-14,tt0159634,Tragica passione,,Bruzia 1955-56
1956-05-18,tt0046429,Teresa Raquin,,Bruzia 1955-56
1956-05-21,tt0041437,Colpevole di tradimento,,Bruzia 1955-56
1956-05-30,tt0044915,Il mondo le condanna,,Bruzia 1955-56
1956-06-06,tt0047419,Ritrovarsi all'alba,,Bruzia 1955-56
1956-06-09,tt0143976,Vendetta rusticana,,Bruzia 1955-56
1956-06-11,tt0043671,Imbarco a mezzanotte,,Bruzia 1955-56
1956-06-13,tt0042531,Romantico avventuriero,,Bruzia 1955-56
1956-06-22,tt0043278,Un americano a Parigi,,Bruzia 1955-56
1956-06-26,tt0043751,Stella solitaria,,Bruzia 1955-56
1956-06-30,tt0046939,Due lacrime,,Bruzia 1955-56
1956-07-04,tt0037644,Lo sterminatore,,Bruzia 1955-56
1956-07-07,tt0046430,Ti ho sempre amato!,,Bruzia 1955-56
1956-07-09,tt0044205,Donne verso l'ignoto,,Bruzia 1955-56
1956-07-13,tt0047949,Il conte Aquila,,Bruzia 1955-56
1956-07-20,tt0036628,Bellezze al bagno,,Bruzia 1955-56
1956-07-26,tt0044857,Lucrezia Borgia,,Bruzia 1955-56
1956-07-31,tt0046737,Le avventure di Giacomo Casanova,,Bruzia 1955-56
1956-08-07,tt0045767,La figlia del forzato,,Bruzia 1955-56
1956-08-11,tt0047621,Tua per la vita,,Bruzia 1955-56
1956-08-15,tt0042787,Il nido di falasco,,Bruzia 1955-56
1956-08-18,tt0045017,Il peccato di Anna,,Bruzia 1955-56
1956-08-22,tt0033630,Fra' Diavolo,10000,Bruzia 1955-56
1956-08-25,tt0045275,Un capriccio di Caroline chérie,9500,Bruzia 1955-56
1956-08-28,tt0029980,Il cavaliere di San Marco,,Bruzia 1955-56
1956-09-04,tt0044602,Fanfan la Tulipe,,Bruzia 1955-56
1956-09-06,tt0044907,I miserabili,,Bruzia 1955-56
1956-09-11,tt0044025,I sette peccati capitali,,Bruzia 1955-56
1956-09-15,tt0046720,Appassionatamente,,Bruzia 1955-56
1956-09-17,tt0048709,Il tesoro di Rommel,,Bruzia 1955-56
1956-09-25,tt0041637,Maracatumba... ma non è una rumba!,,Bruzia 1955-56
1956-09-26,tt0159676,Processo in Vaticano - la vita di S. Teresa di Lisieux,,Bruzia 1955-56
1956-09-28,tt0046188,Pietà per chi cade,,Bruzia 1955-56
1956-10-01,tt0047999,Disperato addio,,Bruzia 1956-57
1956-10-02,tt0270615,Rosalba,,Bruzia 1955-56
1956-10-09,tt0045294,I vinti,,Bruzia 1955-56
1956-10-13,tt0046449,Torna!,,Bruzia 1955-56
1956-10-17,tt0040284,Gli ultimi giorni di Pompei,,Bruzia 1955-56
1956-10-22,tt0158303,La bella seduttrice,,Bruzia 1955-56
1956-10-26,tt0043455,Davide e Betsabea,,Bruzia 1955-56
1956-11-01,tt0045590,Café chantant,,"Bruzia 1955-56, Bruzia 1956-57"
1956-11-03,tt0021695,La trovatella,,"Bruzia 1955-56, Bruzia 1956-57"
1956-11-05,tt0042342,Contro la legge,,Bruzia 1955-56
1956-11-06,tt0044934,La muta di Portici,,"Bruzia 1955-56, Bruzia 1956-57"
1956-11-10,tt0039342,I due orfanelli,,"Bruzia 1955-56, Bruzia 1956-57"
1956-11-14,tt0041357,Fiamme sulla laguna,,Bruzia 1955-56
1956-11-16,tt0046159,"Pane, amore e fantasia",,"Bruzia 1955-56, Bruzia 1956-57"
1956-11-24,tt0036628,Bellezze al bagno,,"Bruzia 1955-56, Bruzia 1956-57"
1956-12-04,tt0039499,L'isola del sogno,,"Bruzia 1955-56, Bruzia 1956-57"
1956-12-07,tt0045132,Il segreto delle tre punte,,"Bruzia 1955-56, Bruzia 1956-57"
1956-12-09,tt0045054,Processo alla città,,"Bruzia 1955-56, Bruzia 1956-57"
1956-12-11,tt0048780,Vendicata!,,"Bruzia 1955-56, Bruzia 1956-57"
1956-12-15,tt0045296,Viva Zapata!,,Bruzia 1956-57
1956-12-22,tt0045316,Il grande gaucho,,Bruzia 1956-57
1956-12-25,tt0047832,L'angelo bianco,,Bruzia 1956-57
1956-12-28,tt0043686,Giochi proibiti,,Bruzia 1956-57
1956-12-30,tt0047327,"Pane, amore e gelosia",,Bruzia 1956-57
1957-01-01,tt0046856,I cinque dell'Adamello,,Bruzia 1956-57
1957-01-08,tt0040637,Natale al campo 119,,Bruzia 1956-57
1957-01-09,tt0040725,Scarpette rosse,,Bruzia 1956-57
1957-01-12,tt0049628,Porta un bacione a Firenze,,Bruzia 1956-57
1957-01-15,tt0047329,Papà Pacifico,,Bruzia 1956-57
1957-01-19,tt12756958,Manon Lescaut,,Bruzia 1956-57
1957-01-22,tt0046700,Alvaro piuttosto corsaro,,Bruzia 1956-57
1957-01-28,tt0042771,La strada del mistero,,Bruzia 1956-57
1957-02-03,tt0044634,Fratelli d'Italia,,Bruzia 1956-57
1957-02-05,tt0044849,Vendicherò il mio passato,,Bruzia 1956-57
1957-02-10,tt0042354,Il Cristo proibito,,Bruzia 1956-57
1957-02-13,tt0039001,Fiamme nella jungla,,Bruzia 1956-57
1957-02-17,tt0045943,Giulio Cesare,,Bruzia 1956-57
1957-02-22,tt0043440,Core 'ngrato,,Bruzia 1956-57
1957-02-24,tt0045602,Capitan Fantasma,,Bruzia 1956-57
1957-02-26,tt0046006,I confini del proibito,,Bruzia 1956-57
1957-02-28,tt0039853,Il canto dell'uomo ombra,,Bruzia 1956-57
1957-03-02,tt0048738,Torna piccina mia!,,Bruzia 1956-57
1957-03-05,tt0043590,Allo sbaraglio,,Bruzia 1956-57
1957-03-09,tt0051060,Te stò aspettanno,,Bruzia 1956-57
1957-03-12,tt0045923,Ivan (il figlio del diavolo bianco),,Bruzia 1956-57
1957-03-15,tt0042737,I miracoli non si ripetono,,Bruzia 1956-57
1957-03-16,tt0045300,La tigre sacra,,Bruzia 1956-57
1957-03-20,tt0144697,È arrivato il cavaliere,,Bruzia 1956-57
1957-03-23,tt0046915,Il figlio conteso,,Bruzia 1956-57
1957-03-24,tt0034687,I due Foscari,,Bruzia 1956-57
1957-03-28,tt0163802,Questa è la vita,,Bruzia 1956-57
1957-03-30,tt0038559,Gilda,,Bruzia 1956-57
1957-04-01,tt0045734,Gli eroi della domenica,,Bruzia 1956-57
1957-04-02,tt0047383,Questi fantasmi,,Bruzia 1956-57
1957-04-09,tt0044858,La lupa,,Bruzia 1956-57
1957-04-11,tt0047263,Anatomia di un delitto,,Bruzia 1956-57
1957-04-15,tt0047607,Tradita,,Bruzia 1956-57
1957-04-20,tt0045483,Aida,,Bruzia 1956-57
1957-04-22,tt0045118,Saluti e baci,,Bruzia 1956-57
1957-04-27,tt0047467,La valle dei Maori,,Bruzia 1956-57
1957-04-30,tt0032304,I ribelli dei sette mari,,Bruzia 1956-57
1957-05-04,tt0048330,Madama Butterfly,,Bruzia 1956-57
1957-05-06,tt0045909,L'incantevole nemica,,Bruzia 1956-57
1957-05-12,tt0048534,Le ragazze di San Frediano,,Bruzia 1956-57
1957-05-16,tt0038089,Siluri umani,,Bruzia 1956-57
1957-05-21,tt0046169,Passione,,Bruzia 1956-57
1957-05-23,tt0046115,F.B.I. divisione criminale,,Bruzia 1956-57
1957-05-28,tt0047238,Miseria e nobiltà,,Bruzia 1956-57
1957-06-01,tt0047469,Senso,,Bruzia 1956-57
1957-06-04,tt0046410,Terra straniera,,Bruzia 1956-57
1957-06-08,tt0159336,La canzone del cuore,,Bruzia 1956-57
1957-06-13,tt0040544,Giovanna la pazza,,Bruzia 1956-57
1957-06-15,tt0047829,Andrea Chénier,,Bruzia 1956-57
1957-06-18,tt0046352,La spiaggia,,Bruzia 1956-57
1957-06-23,tt0047401,La regina Margot,,Bruzia 1956-57
1957-06-26,tt0040724,Il fiume rosso,,Bruzia 1956-57
1957-06-29,tt0035896,Per chi suona la campana,,Bruzia 1956-57
1957-07-03,tt0027869,Il re dei pellirosse,,Bruzia 1956-57
1957-07-11,tt0034346,Uomini sul fondo,,Bruzia 1956-57
1957-07-13,tt0046024,Il maestro di Don Giovanni,,Bruzia 1956-57
1957-07-18,tt0048658,Stella di Rio,,Bruzia 1956-57
1957-07-20,tt0049799,Storia di una minorenne,,Bruzia 1956-57
1957-07-23,tt0036038,Terra nera,,Bruzia 1956-57
1957-07-26,tt0046532,Il maggiore Brady,,Bruzia 1956-57
1957-07-30,tt0039348,L'ebreo errante,,Bruzia 1956-57
1957-08-01,tt0034928,Il libro della giungla,,Bruzia 1956-57
1957-08-03,tt0046362,Stella dell'India,,Bruzia 1956-57
1957-08-06,tt0046281,Schiavitù,,Bruzia 1956-57
1957-08-08,tt0041367,Il figlio di d'Artagnan,,Bruzia 1956-57
1957-08-18,tt0047207,Mambo,,Bruzia 1956-57
1957-08-20,tt0044498,La cieca di Sorrento,,Bruzia 1956-57
1957-08-24,tt0046951,La pista degli elefanti,,Bruzia 1956-57
1957-08-26,tt0168689,Una donna ha ucciso,,Bruzia 1956-57
1957-08-28,tt0039556,Schiavo del passato,,Bruzia 1956-57
1957-08-30,tt0047912,Il campanile d'oro,,Bruzia 1956-57
1957-09-03,tt0045685,"Di qua, di là del Piave",,Bruzia 1956-57
1957-09-05,tt0042307,Il capitano nero,,Bruzia 1956-57
1957-09-09,tt0029646,I volontari del Texas,,Bruzia 1956-57
1957-09-12,tt0048064,Delitto sulla spiaggia,,Bruzia 1956-57
1957-09-15,tt0048605,Quando la moglie è in vacanza,,Bruzia 1956-57
1957-09-16,tt0201285,Rimorso che uccide,,Bruzia 1956-57
1957-09-18,tt0041179,La pista di fuoco,,Bruzia 1956-57
1957-09-23,tt0048614,La figlia di Caino,,Bruzia 1956-57
1957-09-25,tt0029001,Giustizia per gli indios,,Bruzia 1956-57
1957-09-28,tt0040167,Dietro la maschera,,Bruzia 1956-57
1957-10-01,tt0045010,Passione nuda,,Bruzia 1956-57
1957-10-03,tt0046505,Vestire gli ignudi,,Bruzia 1956-57
1957-10-05,tt0045527,L'avventuriero di Siviglia,,Bruzia 1956-57
1957-10-10,tt0044975,Non ho paura di vivere,,Bruzia 1956-57
1957-10-13,tt0046808,La lancia che uccide,,Bruzia 1956-57
1957-10-22,tt0042980,Tragica incertezza,,Bruzia 1956-57
1957-11-01,tt0038306,Aquila nera,,Bruzia 1956-57
1957-11-02,tt0046303,Il cavaliere della valle solitaria,,Bruzia 1956-57
1957-11-05,tt0042333,Cielo tempestoso,,Bruzia 1956-57
1957-11-07,tt0045739,L'età dell'amore,,Bruzia 1956-57
1957-11-11,tt0044473,Capitano ardente,,Bruzia 1956-57
1957-11-14,tt0033562,Le due tigri,,Bruzia 1956-57
1957-11-16,tt0045053,Il prigioniero di Zenda,,Bruzia 1956-57
1957-11-18,tt0048628,La rapina del secolo,,Bruzia 1956-57
1957-11-20,tt0283145,La grande strada,,Bruzia 1956-57
1957-11-23,tt0043918,Don Camillo,,Bruzia 1956-57
1957-11-26,tt0044324,Il prezzo del dovere,,Bruzia 1956-57
1957-11-27,tt0197612,Scandalo alla ribalta,,Bruzia 1956-57
1957-12-02,tt0045138,Sensualità,,"Bruzia 1956-57, Fedi 1957-58"
1957-12-05,tt0048313,Gli sciacalli,,"Bruzia 1956-57, Fedi 1957-58"
1957-12-07,tt0048566,La rossa,,"Bruzia 1956-57, Fedi 1957-58"
1957-12-09,tt0049864,Tosca,,"Bruzia 1956-57, Fedi 1957-58"
1957-12-11,tt0045126,L'angelo scarlatto,,"Bruzia 1956-57, Fedi 1957-58"
1957-12-12,tt0049062,Il cavaliere dalla spada nera,,Fedi 1957-58
1957-12-13,tt0046800,La fine di un tiranno,,Bruzia 1956-57
1957-12-15,tt0046126,Niagara,,"Bruzia 1956-57, Fedi 1957-58"
1957-12-16,tt0045207,Sul ponte dei sospiri,,"Bruzia 1956-57, Fedi 1957-58"
1957-12-18,tt0045695,La domenica della buona gente,,Bruzia 1956-57
1957-12-20,tt0048676,Suor Maria,,"Bruzia 1956-57, Fedi 1957-58"
1957-12-29,tt0047367,La principessa delle Canarie,,"Bruzia 1956-57, Fedi 1957-58"
1958-01-02,tt0034085,Il re si diverte,,Fedi 1957-58
1958-01-05,tt0049584,Orlando e i Paladini di Francia,,Fedi 1957-58
1958-01-07,tt0043675,Gli innocenti pagano,,Fedi 1957-58
1958-01-15,tt0043855,Notte senza stelle,,Fedi 1957-58
1958-01-20,tt0046990,Foglio di via,,Fedi 1957-58
1958-01-21,tt0031876,Rosa di sangue,,Fedi 1957-58
1958-01-23,tt0319155,I cavalieri dell'illusione,,Fedi 1957-58
1958-01-28,tt0033825,Il leone di Damasco,,Fedi 1957-58
1958-01-30,tt0044913,Moglie per una notte,,Fedi 1957-58
1958-02-01,tt0032300,Cantate con me,,Fedi 1957-58
1958-02-04,tt0048464,Il padrone sono me,,Fedi 1957-58
1958-02-05,tt0033449,Capitan Tempesta,,Fedi 1957-58
1958-02-06,tt0033431,Il bravo di Venezia,,Fedi 1957-58
1958-02-07,tt0046344,Sombrero,,Fedi 1957-58
1958-02-12,tt0044178,La valle delle aquile,,Fedi 1957-58
1958-02-17,tt0047224,Il medico dei pazzi,,Fedi 1957-58
1958-02-21,tt0032756,Manon Lescaut,,Fedi 1957-58
1958-02-22,tt0045499,L'amante di Paride,,Fedi 1957-58
1958-02-25,tt0046905,Desperado,,Fedi 1957-58
1958-02-28,tt0047818,Gli amanti del Tago,,Fedi 1957-58
1958-03-02,tt0048120,Giuramento d'amore,,Fedi 1957-58
1958-03-05,tt0046022,I gioielli di Madame de …,,Fedi 1957-58
1958-03-07,tt0043053,Il pescatore della Louisiana,,Fedi 1957-58
1958-03-10,tt0045734,Gli eroi della domenica,,Fedi 1957-58
1958-03-11,tt0045201,La colpa del marinaio,,Fedi 1957-58
1958-03-19,tt0047498,Sinfonia d'amore,,Fedi 1957-58
1958-03-20,tt0043746,Artiglio insaguinato,,Fedi 1957-58
1958-03-21,tt0043888,Operazione Mitra,,Fedi 1957-58
1958-03-24,tt0049484,Maruzzella,,Fedi 1957-58
1958-03-27,tt0043352,Barriti nella jungla,,Fedi 1957-58
1958-04-05,tt0045966,I cavalieri della tavola rotonda,,Fedi 1957-58
1958-04-08,tt0039556,Schiavo del passato,,Fedi 1957-58
1958-04-09,tt0035959,Joe il pilota,,Fedi 1957-58
1958-04-17,tt0046521,I vitelloni,,Fedi 1957-58
1958-04-19,tt0043599,Il grande Caruso,,Fedi 1957-58
1958-04-22,tt0045693,Due ettari di terra,,Fedi 1957-58
1958-04-23,tt0041117,L'imboscata,,Fedi 1957-58
1958-04-26,tt0047411,La mano vendicatrice,,Fedi 1957-58
1958-04-28,tt0044182,La vendetta del corsaro,,Fedi 1957-58
1958-04-30,tt0040765,Odissea tragica,,Fedi 1957-58
1958-05-01,tt0045616,Cessate il fuoco!,,Fedi 1957-58
1958-05-06,tt0046191,Il più comico spettacolo del mondo,,Fedi 1957-58
1958-05-08,tt0042190,Alina,,Fedi 1957-58
1958-05-18,tt0049867,Totò lascia o raddoppia?,,Fedi 1957-58
1958-05-24,tt0049514,Moglie e buoi…,,Fedi 1957-58
1958-05-27,tt0048187,Gli eroi sono stanchi,,Fedi 1957-58
1958-05-30,tt0164222,"Una voce, una chitarra, un po' di luna",,Fedi 1957-58
1958-06-04,tt0050857,Presentimento,,Fedi 1957-58
1958-06-08,tt0046534,La guerra dei mondi,,Fedi 1957-58
1958-06-11,tt0045219,Il drago verde,,Fedi 1957-58
1958-06-14,tt0047871,La bella mugnaia,,Fedi 1957-58
1958-06-17,tt0047968,Da qui all'eredità,,Fedi 1957-58
1958-06-24,tt0045825,Delitto alla televisione,,Fedi 1957-58
1958-06-26,tt0047274,Nel gorgo del peccato,,Fedi 1957-58
1958-06-28,tt0049141,Difendo il mio amore,,Fedi 1957-58
1958-07-01,tt0047572,Il generale del diavolo,,Fedi 1957-58
1958-07-05,tt0045927,Giamaica,,Fedi 1957-58
1958-07-08,tt0046889,I guastatori delle dighe,,Fedi 1957-58
1958-07-12,tt0045518,La freccia insanguinata,,Fedi 1957-58
1958-07-15,tt0045653,Frustateli senza pietà,,Fedi 1957-58
1958-07-18,tt0050130,L'angelo delle Alpi,,Fedi 1957-58
1958-07-25,tt0046769,Il bacio di Giuda,,Fedi 1957-58
1958-07-29,tt0033159,La valle dei monsoni,,Fedi 1957-58
1958-08-03,tt0047313,L'oro di Napoli,,Fedi 1957-58
1958-08-06,tt0022395,Fiamma d'amore,,Fedi 1957-58
1958-08-10,tt0044729,I pirati della Croce del Sud,,Fedi 1957-58
1958-08-15,tt0047876,Il bidone,,Fedi 1957-58
1958-08-17,tt0046461,Fate largo ai moschettieri!,,Fedi 1957-58
1958-08-19,tt0050257,Club di ragazze,,Fedi 1957-58
1958-08-22,tt0047801,Addio sogni di gloria,,Fedi 1957-58
1958-08-27,tt0046513,Il viale della speranza,,Fedi 1957-58
1958-08-30,tt0049508,Mio figlio Nerone,,Fedi 1957-58
1958-09-02,tt0047192,La morsa si chiude,,Fedi 1957-58
1958-09-06,tt0159337,La canzone del destino,,Fedi 1957-58
1958-09-09,tt0033688,La taverna tropicale,,Fedi 1957-58
1958-09-13,tt0049634,Poveri ma belli,,Fedi 1957-58
1958-09-16,tt0043569,Fuoco nero,,Fedi 1957-58
1958-09-20,tt0048524,Quando tramonta il sole,,Fedi 1957-58
1958-09-23,tt0038243,Al caporale piacciono le bionde,,Fedi 1957-58
1958-09-30,tt0047424,Senza scampo,,Fedi 1957-58
1958-10-02,tt0040371,Fregola,,Fedi 1957-58
1958-10-05,tt0050817,"Pane, amore e…",,Fedi 1957-58
1958-10-07,tt0041430,Il grande peccatore,,Fedi 1957-58
1958-10-11,tt0047162,L'ultima volta che vidi Parigi,,Fedi 1957-58
1958-10-14,tt0048570,All'ombra del patibolo,,Fedi 1957-58
1958-10-18,tt0049640,Anche gli eroi piangono,,Fedi 1957-58
1958-10-19,tt0048100,Fuga nel sole,,Fedi 1957-58
1958-10-21,tt0049109,La torre crudele,,Fedi 1957-58
1958-10-26,tt0049140,Diana la cortigiana,,Fedi 1957-58
1958-10-29,tt0041758,I pompieri di Viggiù,,Fedi 1957-58
1958-11-02,tt0050690,Mariti in città,,"Fedi 1957-58, Fedi 1958-59"
1958-11-05,tt0049085,I colpevoli,,"Fedi 1957-58, Fedi 1958-59"
1958-11-08,tt0048588,Duello di spie,,"Fedi 1957-58, Fedi 1958-59"
1958-11-11,tt0121665,La ribalta dei sogni,,"Fedi 1957-58, Fedi 1958-59"
1958-11-15,tt0048805,La vergine della valle,,"Fedi 1957-58, Fedi 1958-59"
1958-11-16,tt0046435,Titanic,,"Fedi 1957-58, Fedi 1958-59"
1958-11-22,tt0050108,Agli ordini del re,,Fedi 1958-59
1958-11-25,tt0047870,La bella di Roma,,"Fedi 1957-58, Fedi 1958-59"
1958-11-27,tt0045679,I topi del deserto,,"Fedi 1957-58, Fedi 1958-59"
1958-12-03,tt0041181,La legge del silenzio,,"Fedi 1957-58, Fedi 1958-59"
1958-12-07,tt0051142,L'uomo di paglia,,"Fedi 1957-58, Fedi 1958-59"
1958-12-08,tt0170559,Una sera di maggio,,Fedi 1958-59
1958-12-09,tt0032571,Tragica luna di miele,,Fedi 1958-59
1958-12-11,tt0047352,Piccola santa,,Fedi 1958-59
1958-12-14,tt0049117,Operazione Normandia,,"Fedi 1957-58, Fedi 1958-59"
1958-12-16,tt0041173,Biancaneve e i sette ladri,,Fedi 1958-59
1958-12-19,tt0049471,L'uomo che non è mai esistito,,Fedi 1958-59
1958-12-24,tt0050783,Le notti di Cabiria,,Fedi 1958-59
1958-12-27,tt0048387,Il covo dei contrabbandieri,,Fedi 1958-59
1958-12-31,tt0049739,Serenate per 16 bionde,,Fedi 1958-59
1959-01-03,tt0050381,Le fatiche di Ercole,,Fedi 1958-59
1959-01-06,tt0048006,La donna più bella del mondo,,Fedi 1958-59
1959-01-08,tt0048355,Maria Antonietta,,Fedi 1958-59
1959-01-09,tt0047073,Operazione mistero,,Fedi 1958-59
1959-01-12,tt0048056,I due capitani,,Fedi 1958-59
1959-01-20,tt0048349,Il mantello rosso,,Fedi 1958-59
1959-01-24,tt0051146,Vivendo cantando... che male ti fò?,,Fedi 1958-59
1959-01-27,tt0049656,Il ricatto più vile,,Fedi 1958-59
1959-01-29,tt0048617,Siamo uomini o caporali,,Fedi 1958-59
1959-01-30,tt0049075,Ci sposeremo a Capri,,Fedi 1958-59
1959-02-02,tt0045097,La marcia del disonore,,"Fedi 1958-59, Bruzia 1958-59"
1959-02-04,tt0050990,Solo Dio mi fermerà,,"Fedi 1958-59, Bruzia 1958-59"
1959-02-07,tt0049501,Michele Strogoff,,"Fedi 1958-59, Bruzia 1958-59"
1959-02-09,tt0158847,Peppino e la vecchia signora,,"Fedi 1958-59, Bruzia 1958-59"
1959-02-11,tt0045637,Il tenente dinamite,,Fedi 1958-59
1959-02-16,tt0047985,Ore disperate,,"Fedi 1958-59, Bruzia 1958-59"
1959-02-19,tt0043676,Tutto per tutto,,"Fedi 1958-59, Bruzia 1958-59"
1959-02-22,tt0049096,Il giullare del re,,"Fedi 1958-59, Bruzia 1958-59"
1959-02-24,tt0049429,I vampiri,,"Fedi 1958-59, Bruzia 1958-59"
1959-02-26,tt0046877,Il siluro della morte,,Fedi 1958-59
1959-02-27,tt0216028,La spada invincibile,,Fedi 1958-59
1959-03-01,tt0049723,Le schiave di Cartagine,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-08,tt0049593,Mezzogiorno di... Fifa,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-09,tt0032273,La febbre del petrolio,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-10,tt0049652,Supplizio,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-11,tt0048008,"Il maggiorato fisico - Donne, danni e diamanti",,Bruzia 1958-59
1959-03-12,tt0158847,Peppino e la vecchia signora,,Fedi 1958-59
1959-03-14,tt0047365,Il principe coraggioso,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-16,tt0043782,La casa del corvo,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-18,tt0049811,Suprema confessione,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-20,tt0050254,Il cielo brucia,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-22,tt0048259,Il ladro del re,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-23,tt0194682,Le avventure dei tre moschettieri,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-29,tt0050628,Lazzarella,,"Fedi 1958-59, Bruzia 1958-59"
1959-03-31,tt0048748,L'imputato deve morire,,"Fedi 1958-59, Bruzia 1958-59"
1959-04-05,tt0048691,Gli implacabili,,"Fedi 1958-59, Bruzia 1958-59"
1959-04-12,tt0049145,Dimentica il mio passato,,"Fedi 1958-59, Bruzia 1958-59"
1959-04-14,tt0049718,L'ora scarlatta,,"Fedi 1958-59, Bruzia 1958-59"
1959-04-17,tt0050777,La nonna Sabella,,"Fedi 1958-59, Bruzia 1958-59"
1959-04-20,tt0040765,Odissea tragica,,"Fedi 1958-59, Bruzia 1958-59"
1959-04-22,tt0046819,Canaris,,"Fedi 1958-59, Bruzia 1958-59"
1959-04-25,tt0049909,Il re vagabondo,,"Fedi 1958-59, Bruzia 1958-59"
