date,const,title,income,source
1949-05-01,tt0040344,Fantasmi del mare,,Incam 1948-49
1949-05-07,tt0037470,La donna della città,,Fincine 1948-49
1949-05-10,tt0035260,Rita da Cascia,,Fincine 1948-49
1949-05-15,tt0034777,Io la difendo,,Fincine 1948-49
1949-05-20,tt0034242,Inferno nel deserto,5300,Incam 1948-49
1949-05-25,tt0039781,Rocambole,8000,Incam 1948-49
1949-05-28,tt0039774,La rivincita di Baccarat,8000,Incam 1948-49
1949-06-03,tt0032383,La belva umana,,Incam 1948-49
1949-06-05,tt0036413,T'amerò sempre,,Incam 1948-49
1949-06-08,tt0162234,Che distinta famiglia!,30500,Incam 1948-49
1949-06-10,tt0034894,Incontri di notte,,Incam 1948-49
1949-06-18,tt0039352,Eleonora Duse,,Incam 1948-49
1949-06-25,tt0040223,La Certosa di Parma (amanti senza speranza),,Incam 1948-49
1949-07-03,tt0039059,Ultimo amore,,"Fincine 1948-49, Incam 1948-49"
1949-07-09,tt0038570,La gondola del diavolo,,Incam 1948-49
1949-07-13,tt0031949,Il sogno di Butterfly,,"Fincine 1948-49, Incam 1948-49"
1949-07-16,tt0034022,Pia de' Tolomei,,"Fincine 1948-49, Incam 1948-49"
1949-07-20,tt0031146,Centomila dollari,,Fincine 1948-49
1949-07-22,tt0031642,La mia canzone al vento,,Fincine 1948-49
1949-07-23,tt0032999,Una romantica avventura,,Incam 1948-49
1949-07-28,tt0032865,Oltre l'amore,13725,"Fincine 1948-49, Incam 1948-49"
1949-07-30,tt0038719,Malacarne,,"Fincine 1948-49, Incam 1948-49"
1949-08-02,tt0033588,Fari nella nebbia,,Incam 1948-49
1949-08-06,tt0029877,L'argine,,Incam 1948-49
1949-08-07,tt0029975,La casa del peccato,,Incam 1948-49
1949-08-07,tt0034893,Gioventù traviata,,Fincine 1948-49
1949-08-14,tt0034936,Prigioniera di un segreto,,Fincine 1948-49
1949-08-21,tt0033127,Prigione d'amore,4725,Incam 1948-49
1949-08-27,tt0039039,Il tiranno di Padova,,Fincine 1948-49
1949-09-04,tt0039198,Bionda selvaggia,12850,"Fincine 1948-49, Incam 1948-49"
1949-09-11,tt0039342,I due orfanelli,45400,"Fincine 1948-49, Incam 1948-49"
1949-09-23,tt0026188,Casta Diva,,Fincine 1948-49
1949-09-28,tt0027887,Appuntamento alle 5,3300,Incam 1948-49
1949-10-01,tt0027830,La figlia della jungla,,Fincine 1948-49
1949-10-04,tt0035559,Sangue viennese,,"Elettrocarbonium 1949-50, Incam 1949-50"
1949-10-05,tt0215327,Il ventesimo duca,,Fincine 1948-49
1949-10-07,tt0041609,Il lupo della Sila,,"Elettrocarbonium 1949-50, Incam 1949-50"
1949-10-12,tt0038220,Le vie del peccato,10200,Incam 1949-50
1949-10-13,tt0037793,La casa degli orrori,,Fincine 1948-49
1949-10-19,tt0031642,La mia canzone al vento,,Fincine 1948-49
1949-10-20,tt0202713,L'eterno conflitto,,Incam 1949-50
1949-10-21,tt0041119,Amori e veleni,,Incam 1949-50
1949-10-21,tt0026188,Casta Diva,,Fincine 1948-49
1949-10-23,tt0037925,Monaca santa,,Fincine 1948-49
1949-10-27,tt0036214,Non canto più,,Fincine 1948-49
1949-10-28,tt0028683,Margherita Gauthier,,Incam 1949-50
1949-10-31,tt0040500,Fuga nella giungla,,Incam 1949-50
1949-11-04,tt0018054,Il re dei re,,"Elettrocarbonium 1949-50, Incam 1949-50"
1949-11-06,tt0042303,Campane a martello,,Elettrocarbonium 1949-50
1949-11-09,tt0034882,Musica sulle nuvole,,Incam 1949-50
1949-11-11,tt0033017,San Giovanni decollato,,"Elettrocarbonium 1949-50, Incam 1949-50"
1949-11-16,tt0039949,È accaduto in Europa,,Incam 1949-50
1949-11-18,tt0024249,Angeli senza paradiso,,Elettrocarbonium 1949-50
1949-11-22,tt0039015,Tentazione,,Elettrocarbonium 1949-50
1949-11-23,tt0032728,Lungo viaggio di ritorno,5500,Incam 1949-50
1949-11-26,tt0041684,Napoli eterna canzone,,"Elettrocarbonium 1949-50, Incam 1949-50"
1949-11-27,tt0028683,Margherita Gauthier,,Elettrocarbonium 1949-50
1949-12-02,tt0041739,Patto col diavolo,,Incam 1949-50
1949-12-04,tt0039039,Il tiranno di Padova,,Elettrocarbonium 1949-50
1949-12-08,tt0023826,Anime alla deriva,,Elettrocarbonium 1949-50
1949-12-08,tt0033807,La ribelle del west,7200,Incam 1949-50
1949-12-09,tt0040568,Alba di sangue,,"Elettrocarbonium 1949-50, Incam 1949-50"
1949-12-11,tt0038287,"Addio, mia bella Napoli!",,Elettrocarbonium 1949-50
1949-12-11,tt0025493,La vedova allegra,,Elettrocarbonium 1949-50
1949-12-14,tt0039403,La fumeria d'oppio,,Incam 1949-50
1949-12-18,tt0041843,Santo disonore,,Elettrocarbonium 1949-50
1949-12-23,tt0036377,Bernadette,,Elettrocarbonium 1949-50
1949-12-24,tt0038882,Rigoletto,,Incam 1949-50
1949-12-28,tt0039364,Il fabbro del convento,,Incam 1949-50
1949-12-30,tt0036983,Le chiavi del paradiso,,Elettrocarbonium 1949-50
1949-12-31,tt0041974,Totò cerca casa,,Incam 1949-50
1950-01-01,tt0036983,Le chiavi del paradiso,,Incam 1949-50
1950-01-04,tt0024216,King Kong,,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-01-06,tt0039364,Il fabbro del convento,,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-01-07,tt0035360,Il figlio della furia,,Elettrocarbonium 1949-50
1950-01-14,tt0041126,Antonio di Padova,,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-01-20,tt0025493,La vedova allegra,,Incam 1949-50
1950-01-20,tt0031876,Rosa di sangue,,Elettrocarbonium 1949-50
1950-01-22,tt0025493,La vedova allegra,,Elettrocarbonium 1949-50
1950-01-24,tt0031876,Rosa di sangue,,Incam 1949-50
1950-01-27,tt0040640,Nennella,,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-01-28,tt0038492,Il castello di Dragonwyck,4150,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-02-01,tt0038492,Il castello di Dragonwyck,,Incam 1949-50
1950-02-01,tt0036377,Bernadette,,Elettrocarbonium 1949-50
1950-02-02,tt0032762,Il segno di Zorro,,Elettrocarbonium 1949-50
1950-02-03,tt0037925,Monaca santa,,Elettrocarbonium 1949-50
1950-02-03,tt0035752,Il conte di Montecristo,,Incam 1949-50
1950-02-06,tt0022641,Come tu mi vuoi,,Elettrocarbonium 1949-50
1950-02-07,tt0030725,Duello col pirata nero,,Incam 1949-50
1950-02-10,tt0039629,Caccia all'uomo (miserabili),,Incam 1949-50
1950-02-11,tt0033873,Duello mortale,,Elettrocarbonium 1949-50
1950-02-11,tt0030725,Duello col pirata nero,,Elettrocarbonium 1949-50
1950-02-14,tt0033873,Duello mortale,,Incam 1949-50
1950-02-15,tt0165938,Difendo mia figlia,,Elettrocarbonium 1949-50
1950-02-17,tt0041991,Il trovatore,,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-02-18,tt0038046,Salomè,,Elettrocarbonium 1949-50
1950-02-24,tt0035360,Il figlio della furia,,Incam 1949-50
1950-02-25,tt0038279,Il 13 non risponde,,Elettrocarbonium 1949-50
1950-02-28,tt0038813,Vita rubata,2500,Incam 1949-50
1950-03-04,tt0200523,Il demone della gelosia,14000,Incam 1949-50
1950-03-07,tt0022641,Come tu mi vuoi,2600,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-03-12,tt0165938,Difendo mia figlia,7000,Incam 1949-50
1950-03-13,tt0039809,Il segreto di don Giovanni,,Elettrocarbonium 1949-50
1950-03-14,tt0037672,La foresta incantata,7300,"Elettrocarbonium 1949-50, Incam 1949-50"
1950-03-15,tt0165938,Difendo mia figlia,,Elettrocarbonium 1949-50
1950-03-17,tt0039809,Il segreto di don Giovanni,20000,Incam 1949-50
1950-03-21,tt0039415,Genoveffa di Brabante,,Incam 1949-50
